duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
2.0,4.5,4.0,3.77692307692,none,40.0,,7.44444444444,4.0,,12.0,average,yes,full,yes,half,good
1.0,4.0,4.0175,3.77692307692,none,37.8666666667,none,7.44444444444,4.93103448276,yes,11.0,average,no,none,no,none,bad
2.0,2.0,3.0,3.77692307692,none,38.0,empl_contr,7.44444444444,4.93103448276,yes,12.0,generous,yes,none,yes,full,bad
2.0,2.5,2.5,3.77692307692,tc,39.0,empl_contr,7.44444444444,4.93103448276,,12.0,average,,,yes,,bad
2.0,4.0,4.0,3.77692307692,none,40.0,none,7.44444444444,3.0,,10.0,below_average,no,none,,none,bad
2.0,4.5,4.0,3.77692307692,,40.0,,7.44444444444,2.0,no,10.0,below_average,no,half,,half,bad
2.0,4.6,4.6,3.77692307692,tcf,38.0,,7.44444444444,4.93103448276,,11.0425531915,,yes,half,,half,good
2.0,5.0,4.5,3.77692307692,none,38.0,,14.0,5.0,,11.0,below_average,yes,,,full,good
2.0,7.0,5.3,3.77692307692,,37.8666666667,,7.44444444444,4.93103448276,,11.0,,yes,full,,,good
3.0,2.0,3.0,3.77692307692,tcf,37.8666666667,empl_contr,7.44444444444,4.93103448276,yes,11.0425531915,,yes,half,yes,,good
3.0,3.5,4.0,4.5,tcf,35.0,,7.44444444444,4.93103448276,,13.0,generous,,,yes,full,good
3.0,4.0,3.5,3.77692307692,none,40.0,empl_contr,7.44444444444,6.0,,11.0,average,yes,full,,full,good
3.0,5.0,4.4,3.77692307692,none,38.0,empl_contr,10.0,6.0,,11.0,generous,yes,,,full,good
3.0,5.0,5.0,5.0,,40.0,,7.44444444444,4.93103448276,,12.0,average,,half,yes,half,good
3.0,6.0,6.0,4.0,,35.0,,7.44444444444,14.0,,9.0,generous,yes,full,yes,full,good
