X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],(0.153846; Inf],(0.625; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],(0.625; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],-1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],-1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],-1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],[-Inf;-0.9284215],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],[-Inf;-0.9284215],1,1,[-Inf;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],(0.625; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.9921; Inf],1
1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
1,[-Inf; Inf],[-Inf;-0.6994645],[-Inf;-0.5],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],-1,-1,[-Inf;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
-1,[-Inf; Inf],(-0.6994645; Inf],(-0.5; Inf],[-Inf;0.153846],[-Inf;0.625],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.9921; Inf],1
-1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],(0.625; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],1
1,[-Inf; Inf],[-Inf;-0.6994645],(-0.5; Inf],(0.153846; Inf],[-Inf;0.625],[-Inf;-0.9284215],-1,1,[-Inf;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.9921],-1
