X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],-1
-1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
-1,[-Inf; Inf],(-0.700893; Inf],-1,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],-1,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],-1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
-1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],-1,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],-1,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],-1,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],-1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
-1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
-1,[-Inf; Inf],(-0.700893; Inf],-1,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,1,(-0.9253735; Inf],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
-1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9850745;-0.9253735],1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],-1,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],-1,-1,[-Inf;-0.9850745],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],[-Inf;-0.875],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],[-Inf;-0.9005],[-Inf;-0.99491],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,[-Inf;0.153846],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
-1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],1,1,(-0.9253735; Inf],1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],1
1,[-Inf; Inf],[-Inf;-0.700893],0,(0.153846; Inf],(-0.875; Inf],[-Inf;-0.9284215],-1,1,(-0.9850745;-0.9253735],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],-1
-1,[-Inf; Inf],(-0.700893; Inf],0,(0.153846; Inf],(-0.875; Inf],(-0.9284215; Inf],1,1,(-0.9253735; Inf],-1,[-Inf; Inf],[-Inf;-0.9005],(-0.99491; Inf],1
1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],-1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],[-Inf;-0.99491],-1
-1,[-Inf; Inf],[-Inf;-0.700893],0,[-Inf;0.153846],(-0.875; Inf],[-Inf;-0.9284215],1,-1,[-Inf;-0.9850745],-1,[-Inf; Inf],(-0.9005; Inf],(-0.99491; Inf],1
