duration,wage.increase.first.year,wage.increase.second.year,wage.increase.third.year,cost.of.living.adjustment,working.hours,pension,standby.pay,shift.differential,education.allowance,statutory.holidays,vacation,longterm.disability.assistance,contribution.to.dental.plan,bereavement.assistance,contribution.to.health.plan,class
[-Inf; Inf],(2.65; Inf],[-Inf;3.94268292683],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,,yes,,good
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,,,,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],tc,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,[-Inf; Inf],below_average,no,half,yes,full,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,[-Inf; Inf],average,yes,none,yes,full,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],tc,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],no,[-Inf; Inf],generous,no,none,no,none,bad
[-Inf; Inf],(2.65; Inf],[-Inf;3.94268292683],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],no,[-Inf; Inf],below_average,yes,half,,none,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,,yes,none,bad
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,yes,full,yes,half,good
[-Inf; Inf],(2.65; Inf],[-Inf;3.94268292683],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],average,no,none,no,none,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],generous,yes,none,yes,full,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],tc,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,,yes,,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;3.94268292683],[-Inf; Inf],tcf,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],below_average,,,yes,,bad
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],below_average,no,none,,none,bad
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,full,yes,full,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],,yes,half,,half,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],below_average,yes,,,full,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,yes,full,yes,full,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],,yes,full,,,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,,,yes,full,good
[-Inf; Inf],(2.65; Inf],[-Inf;3.94268292683],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,yes,full,,full,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,yes,,,full,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,half,yes,half,good
[-Inf; Inf],(2.65; Inf],(3.94268292683; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,yes,full,yes,full,good
