normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(98; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],chevrolet,gas,std,two,hatchback,fwd,l,three,2bbl,front,[-Inf;88.5],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],[-Inf;85],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],[-Inf;66],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(75.5;93.5],chevrolet,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(94;95.5],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],0
(98; Inf],dodge,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,turbo,two,hatchback,fwd,ohc,four,mpfi,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,std,four,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],dodge,gas,turbo,,sedan,fwd,ohc,four,mpfi,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],1
(98; Inf],dodge,gas,std,four,wagon,fwd,ohc,four,2bbl,front,(101.8; Inf],(169.05;186.65],(64.3;65.45],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],-1
(98; Inf],dodge,gas,turbo,two,hatchback,fwd,ohc,four,mfi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,[-Inf;88.5],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],[-Inf;66],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,[-Inf;88.5],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],[-Inf;85],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],[-Inf;66],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;101.8],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],0
(75.5;93.5],honda,gas,std,four,wagon,fwd,ohc,four,1bbl,front,(95.5;101.8],[-Inf;158.75],[-Inf;64.3],(56.25; Inf],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],0
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(95.5;101.8],(158.75;168.75],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],0
(98; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(95.5;101.8],(158.75;168.75],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(75.5;93.5],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(75.5;93.5],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;101.8],(169.05;186.65],[-Inf;64.3],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(98; Inf],honda,gas,std,two,sedan,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],(50.35;51.8],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],1
(98; Inf],isuzu,gas,std,four,sedan,rwd,ohc,four,2bbl,front,(94;95.5],(169.05;186.65],[-Inf;64.3],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],[-Inf;8497],0
(98; Inf],isuzu,gas,std,two,sedan,fwd,ohc,four,2bbl,front,(94;95.5],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],1
(98; Inf],isuzu,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(94;95.5],[-Inf;158.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(98; Inf],isuzu,gas,std,two,hatchback,rwd,ohc,four,spfi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(50.35;51.8],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],2
(98; Inf],jaguar,gas,std,four,sedan,rwd,dohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],jaguar,gas,std,four,sedan,rwd,dohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],(158.75;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],1
(98; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(94;95.5],(168.75;169.05],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],[-Inf;85],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(94;95.5],(168.75;169.05],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],[-Inf;85],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(94;95.5],(168.75;169.05],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],[-Inf;85],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,mpfi,front,(94;95.5],(168.75;169.05],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],[-Inf;85],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],1
(98; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],0
(98; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],1
(98; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(98; Inf],mazda,diesel,std,,sedan,fwd,ohc,four,idi,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;66],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(98; Inf],mazda,gas,std,four,hatchback,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(98; Inf],mazda,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(101.8; Inf],(169.05;186.65],(65.65;66.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],mazda,diesel,std,four,sedan,rwd,ohc,four,idi,front,(101.8; Inf],(169.05;186.65],(65.65;66.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(69.5;87],[-Inf; Inf],(25.5; Inf],(28.5; Inf],(8497; Inf],0
(75.5;93.5],mercedes-benz,diesel,turbo,four,sedan,rwd,ohc,five,idi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],-1
(75.5;93.5],mercedes-benz,diesel,turbo,four,wagon,rwd,ohc,five,idi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],-1
(75.5;93.5],mercedes-benz,diesel,turbo,two,hardtop,rwd,ohc,five,idi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(75.5;93.5],mercedes-benz,diesel,turbo,four,sedan,rwd,ohc,five,idi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],-1
(98; Inf],mercedes-benz,gas,std,two,convertible,rwd,ohcv,eight,mpfi,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(50.35;51.8],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mercedes-benz,gas,std,four,sedan,rwd,ohcv,eight,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],mercedes-benz,gas,std,two,hardtop,rwd,ohcv,eight,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],mercury,gas,turbo,two,hatchback,rwd,ohc,four,mpfi,front,(101.8; Inf],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],mitsubishi,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],(64.3;65.45],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(98; Inf],mitsubishi,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],(64.3;65.45],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(98; Inf],mitsubishi,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;158.75],(64.3;65.45],(50.35;51.8],[-Inf;2206.5],(85;105.5],[-Inf;3.02],[-Inf; Inf],[-Inf; Inf],(66;69.5],[-Inf; Inf],(25.5; Inf],(28.5; Inf],[-Inf;8497],2
(98; Inf],mitsubishi,gas,turbo,two,hatchback,fwd,ohc,four,spdi,front,(92.15;94],[-Inf;158.75],[-Inf;64.3],(50.35;51.8],[-Inf;2206.5],(85;105.5],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],[-Inf;8497],1
(98; Inf],mitsubishi,gas,turbo,two,hatchback,fwd,ohc,four,spdi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],3
(98; Inf],mitsubishi,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],3
(98; Inf],mitsubishi,gas,turbo,two,hatchback,fwd,ohc,four,spdi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],mitsubishi,gas,turbo,two,hatchback,fwd,ohc,four,spdi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
