x.box,y.box,width,high,onpix,x.bar,y.bar,x2bar,y2bar,xybar,x2ybr,xy2br,x.ege,xegvy,y.ege,yegvx,class
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(5.5;6.5],(3.5;4.5],(3.5;4.5],(8.5;9.5],(8.5;9.5],(4.5;5.5],(2.5;3.5],(9.5;10.5],(3.5;4.5],(2.5;4.5],Y
[-Inf;0.5],[-Inf; Inf],[-Inf;0.5],[-Inf;8.5],[-Inf;1.5],(6.5;7.5],(6.5;7.5],(3.5;4.5],(3.5;4.5],(6.5;7.5],(5.5;6.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],I
(4.5; Inf],[-Inf; Inf],(7.5;9.5],[-Inf;8.5],(5.5;9.5],(3.5;4.5],(9.5;10.5],(1.5;2.5],(2.5;3.5],(8.5;9.5],(7.5;8.5],(6.5;7.5],(7.5;9.5],(12.5; Inf],(2.5;3.5],(4.5;5.5],W
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(6.5;7.5],(8.5;9.5],(4.5;5.5],(5.5;6.5],(6.5;7.5],(8.5;9.5],(8.5;9.5],(2.5;3.5],(8.5;9.5],(0.5;1.5],(7.5;8.5],U
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(4.5;5.5],(11.5;12.5],(2.5;3.5],(5.5;6.5],(10.5;11.5],(8.5;9.5],(3.5;4.5],(0.5;1.5],(10.5;11.5],(0.5;1.5],(4.5;5.5],T
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(5.5;6.5],(4.5;5.5],(4.5;5.5],(7.5;8.5],(4.5;5.5],(7.5;8.5],(2.5;3.5],(6.5;7.5],(4.5;5.5],(5.5;6.5],O
(2.5;4.5],[-Inf; Inf],(4.5;7.5],(9.5;11.5],(5.5;9.5],(7.5;8.5],(8.5;9.5],(3.5;4.5],[-Inf;0.5],(7.5;8.5],(6.5;7.5],(5.5;6.5],(4.5;5.5],(10.5;11.5],(4.5;5.5],(6.5;7.5],P
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(3.5;4.5],(8.5;9.5],(4.5;5.5],(5.5;6.5],(11.5;12.5],(8.5;9.5],(9.5;10.5],(0.5;1.5],(8.5;9.5],(1.5;2.5],(6.5;7.5],C
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(7.5;8.5],(6.5;7.5],(4.5;5.5],(2.5;3.5],(6.5;7.5],(6.5;7.5],(6.5;7.5],(5.5;6.5],(9.5;10.5],(7.5; Inf],(8.5;9.5],B
(4.5; Inf],[-Inf; Inf],(7.5;9.5],[-Inf;8.5],(2.5;5.5],(2.5;3.5],(9.5;10.5],(2.5;3.5],(3.5;4.5],(10.5;11.5],(9.5;10.5],(7.5;8.5],(7.5;9.5],(9.5;10.5],(1.5;2.5],(5.5;6.5],W
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(8.5;9.5],(10.5;11.5],(2.5;3.5],(3.5;4.5],(3.5;4.5],(10.5;11.5],(7.5;8.5],(1.5;2.5],(9.5;10.5],(0.5;1.5],(7.5;8.5],V
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(10.5;11.5],(1.5;2.5],(1.5;2.5],(6.5;7.5],(7.5;8.5],(7.5;8.5],(5.5;6.5],(10.5;11.5],(0.5;1.5],(7.5;8.5],W
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(5.5;6.5],(5.5;6.5],(5.5;6.5],(4.5;5.5],(5.5;6.5],(4.5;5.5],(7.5;8.5],(5.5;6.5],(5.5;6.5],(5.5;7.5],(9.5;10.5],H
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(7.5;8.5],(2.5;3.5],(10.5;12.5],(8.5;9.5],(5.5;6.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],(5.5;7.5],(6.5;7.5],Z
(0.5;1.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(8.5;9.5],(5.5;6.5],(1.5;2.5],(5.5;6.5],(11.5;12.5],(2.5;4.5],(8.5;9.5],(0.5;1.5],(6.5;7.5],(0.5;1.5],(6.5;7.5],J
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(4.5;5.5],(10.5;11.5],(2.5;3.5],(3.5;4.5],(12.5;13.5],(6.5;7.5],(3.5;4.5],(0.5;1.5],(8.5;9.5],(0.5;1.5],(6.5;7.5],F
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(6.5;7.5],(6.5;7.5],(7.5;8.5],(4.5;5.5],(6.5;7.5],(5.5;6.5],(4.5;5.5],(3.5;4.5],(7.5;8.5],(2.5;3.5],(6.5;7.5],D
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(1.5;2.5],(7.5;8.5],(6.5;7.5],(2.5;3.5],(7.5;8.5],(10.5;11.5],(4.5;5.5],(6.5;7.5],(0.5;1.5],(8.5;9.5],(4.5;5.5],(7.5;8.5],S
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(7.5;8.5],(2.5;3.5],(8.5;9.5],(12.5;13.5],(4.5;5.5],(5.5;6.5],(1.5;2.5],(8.5;9.5],(4.5;5.5],(4.5;5.5],T
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(8.5;9.5],(7.5;8.5],(3.5;4.5],(6.5;7.5],(7.5;8.5],(6.5;7.5],(3.5;4.5],(6.5;7.5],(3.5;4.5],(8.5;9.5],O
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(6.5;7.5],(4.5;5.5],(8.5;9.5],(6.5;7.5],(6.5;7.5],(6.5;7.5],(0.5;1.5],(7.5;8.5],(5.5;7.5],(7.5;8.5],Z
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(5.5;6.5],(6.5;7.5],(9.5;10.5],(5.5;6.5],(6.5;7.5],(5.5;6.5],(6.5;7.5],(1.5;2.5],(7.5;8.5],(7.5; Inf],(9.5;10.5],B
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(5.5;6.5],(9.5;10.5],(3.5;4.5],(4.5;5.5],(9.5;10.5],(8.5;9.5],(4.5;5.5],(1.5;2.5],(8.5;9.5],(2.5;3.5],(5.5;6.5],F
(4.5; Inf],[-Inf; Inf],(9.5; Inf],[-Inf;8.5],(9.5; Inf],(9.5;11.5],(4.5;5.5],(2.5;3.5],(1.5;2.5],(8.5;9.5],(2.5;4.5],(7.5;8.5],(9.5; Inf],(5.5;6.5],(3.5;4.5],(6.5;7.5],M
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(7.5;8.5],(13.5; Inf],(0.5;1.5],(4.5;5.5],(5.5;6.5],(10.5;11.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],T
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(4.5;5.5],(6.5;7.5],(3.5;4.5],(5.5;6.5],(5.5;6.5],(5.5;6.5],(10.5;11.5],(2.5;3.5],(7.5;8.5],(3.5;4.5],(9.5;10.5],K
(0.5;1.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(6.5;7.5],(6.5;7.5],(1.5;2.5],(8.5;9.5],(10.5;11.5],(5.5;6.5],(7.5;8.5],(0.5;1.5],(7.5;8.5],(4.5;5.5],(7.5;8.5],Z
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(4.5;5.5],(12.5;13.5],(2.5;3.5],(5.5;6.5],(11.5;12.5],(8.5;9.5],(3.5;4.5],(0.5;1.5],(10.5;11.5],(0.5;1.5],(4.5;5.5],T
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(6.5;7.5],(9.5;10.5],(1.5;2.5],(2.5;3.5],(5.5;6.5],(8.5;9.5],(7.5;8.5],(7.5;9.5],(10.5;11.5],(0.5;1.5],(7.5;8.5],W
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(1.5;2.5],(5.5;6.5],(1.5;2.5],(1.5;2.5],(1.5;2.5],(4.5;5.5],(0.5;2.5],(7.5;8.5],(1.5;2.5],(5.5;6.5],(2.5;3.5],(5.5;6.5],A
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(7.5;8.5],(7.5;8.5],(5.5;6.5],(0.5;1.5],(4.5;5.5],(5.5;6.5],(8.5;9.5],(1.5;2.5],(8.5;9.5],(4.5;5.5],(9.5;10.5],Q
(4.5; Inf],[-Inf; Inf],(4.5;7.5],(11.5; Inf],(5.5;9.5],(7.5;8.5],(6.5;7.5],(3.5;4.5],(1.5;2.5],(11.5;12.5],(5.5;6.5],(7.5;8.5],(2.5;3.5],(8.5;9.5],(7.5; Inf],(5.5;6.5],Z
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(8.5;9.5],(9.5;10.5],(2.5;3.5],(1.5;2.5],(7.5;8.5],(6.5;7.5],(6.5;7.5],(2.5;3.5],(9.5;10.5],(7.5; Inf],(5.5;6.5],H
(4.5; Inf],[-Inf; Inf],(7.5;9.5],[-Inf;8.5],(5.5;9.5],(5.5;6.5],(5.5;6.5],(2.5;3.5],(3.5;4.5],(6.5;7.5],(4.5;5.5],(7.5;8.5],(6.5;7.5],(9.5;10.5],(5.5;7.5],(5.5;6.5],R
(0.5;1.5],[-Inf; Inf],[-Inf;0.5],[-Inf;8.5],[-Inf;1.5],(6.5;7.5],(6.5;7.5],(3.5;4.5],(3.5;4.5],(6.5;7.5],(5.5;6.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],[-Inf;0.5],(7.5;8.5],I
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(7.5;8.5],(3.5;4.5],(3.5;4.5],(8.5;9.5],(4.5;5.5],(7.5;8.5],(1.5;2.5],(5.5;6.5],(2.5;3.5],(9.5;10.5],R
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(8.5;9.5],(3.5;4.5],(5.5;6.5],(4.5;5.5],(7.5;8.5],(9.5;10.5],(5.5;6.5],(9.5;10.5],(0.5;1.5],(6.5;7.5],U
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(5.5;6.5],(11.5;12.5],(3.5;4.5],(6.5;7.5],(11.5;12.5],(7.5;8.5],(2.5;3.5],(8.5;9.5],[-Inf;0.5],(7.5;8.5],U
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(6.5;7.5],(7.5;8.5],(4.5;5.5],(6.5;7.5],(5.5;6.5],(7.5;8.5],(2.5;3.5],(7.5;8.5],(2.5;3.5],(7.5;8.5],O
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(5.5;6.5],(7.5;8.5],(5.5;6.5],(7.5;8.5],(9.5;10.5],(5.5;6.5],(9.5;10.5],(0.5;1.5],(7.5;8.5],(7.5; Inf],(7.5;8.5],E
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(9.5;11.5],(5.5;6.5],(3.5;4.5],(6.5;7.5],(10.5;11.5],(2.5;4.5],(5.5;6.5],(3.5;4.5],(5.5;6.5],(3.5;4.5],(7.5;8.5],D
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(3.5;4.5],(7.5;8.5],(4.5;5.5],(6.5;7.5],(8.5;9.5],(7.5;8.5],(8.5;9.5],(2.5;3.5],(8.5;9.5],(1.5;2.5],(4.5;5.5],U
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(1.5;2.5],(6.5;7.5],(6.5;7.5],(4.5;5.5],(6.5;7.5],(6.5;7.5],(5.5;6.5],(8.5;9.5],(1.5;2.5],(7.5;8.5],(4.5;5.5],(9.5;10.5],E
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(1.5;2.5],(7.5;8.5],(6.5;7.5],(2.5;3.5],[-Inf;0.5],(6.5;7.5],[-Inf;0.5],(7.5;8.5],(2.5;3.5],(6.5;7.5],(1.5;2.5],(7.5;8.5],A
(0.5;1.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(5.5;6.5],(9.5;10.5],(0.5;1.5],(5.5;6.5],(7.5;8.5],(10.5;11.5],(7.5;8.5],(0.5;1.5],(10.5;11.5],(1.5;2.5],(7.5;8.5],Y
(1.5;2.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(10.5;11.5],(2.5;3.5],(2.5;3.5],(4.5;5.5],(7.5;8.5],(8.5;9.5],(1.5;2.5],(10.5;11.5],(4.5;5.5],(5.5;6.5],Y
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(5.5;6.5],(8.5;9.5],(3.5;4.5],(6.5;7.5],(4.5;5.5],(7.5;8.5],(2.5;3.5],(7.5;8.5],(2.5;3.5],(7.5;8.5],O
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(6.5;7.5],(5.5;6.5],(6.5;7.5],(7.5;8.5],(10.5;11.5],(5.5;6.5],(10.5;11.5],(1.5;2.5],(10.5;11.5],(4.5;5.5],(8.5;9.5],G
(4.5; Inf],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(2.5;3.5],(0.5;1.5],(1.5;2.5],(5.5;6.5],(0.5;2.5],(6.5;7.5],(2.5;3.5],[-Inf;5.5],(3.5;4.5],(6.5;7.5],A
(2.5;4.5],[-Inf; Inf],(1.5;4.5],[-Inf;8.5],[-Inf;1.5],(4.5;5.5],(8.5;9.5],(4.5;5.5],(6.5;7.5],(11.5;12.5],(8.5;9.5],(9.5;10.5],(0.5;1.5],(9.5;10.5],(2.5;3.5],(6.5;7.5],C
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(6.5;7.5],(7.5;8.5],(3.5;4.5],(0.5;1.5],(7.5;8.5],(5.5;6.5],(5.5;6.5],(3.5;4.5],(9.5;10.5],(7.5; Inf],(4.5;5.5],H
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(5.5;9.5],(6.5;7.5],(6.5;7.5],(2.5;3.5],(3.5;4.5],(6.5;7.5],(5.5;6.5],(7.5;8.5],(6.5;7.5],(9.5;10.5],(7.5; Inf],(5.5;6.5],R
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(5.5;6.5],(4.5;5.5],(4.5;5.5],(7.5;8.5],(6.5;7.5],(6.5;7.5],(2.5;3.5],(6.5;7.5],(3.5;4.5],(5.5;6.5],J
(2.5;4.5],[-Inf; Inf],(4.5;7.5],[-Inf;8.5],(2.5;5.5],(7.5;8.5],(6.5;7.5],(11.5;12.5],(0.5;1.5],(5.5;6.5],(8.5;9.5],(7.5;8.5],(7.5;9.5],(5.5;6.5],[-Inf;0.5],(7.5;8.5],M
