duration,wage.increase.first.year,wage.increase.second.year,wage.increase.third.year,cost.of.living.adjustment,working.hours,pension,standby.pay,shift.differential,education.allowance,statutory.holidays,vacation,longterm.disability.assistance,contribution.to.dental.plan,bereavement.assistance,contribution.to.health.plan,class
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,[-Inf;10.5],below_average,yes,none,,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],generous,,,yes,full,good
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],average,,,yes,full,bad
[-Inf; Inf],(2.65; Inf],[-Inf;2.75],[-Inf; Inf],tc,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,yes,half,yes,full,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],average,,,,,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,no,none,,none,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],tc,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,no,half,yes,full,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],no,(10.5; Inf],average,yes,none,yes,full,bad
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],tc,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],no,(10.5; Inf],generous,no,none,no,none,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],average,,,yes,none,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,yes,full,yes,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],average,no,none,no,none,bad
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],tc,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,,yes,,bad
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],below_average,,,yes,,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],below_average,no,none,,none,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,no,half,,half,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,full,yes,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],,yes,half,,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],below_average,yes,,,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,yes,full,yes,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],,yes,full,,,good
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],,yes,half,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,,,yes,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,yes,full,,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,yes,,,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,half,yes,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],generous,yes,full,yes,full,good
