Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-4.5165;-3.525],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hid
Andrew,Male,(-2.403;-2.1225],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],had
Andrew,Male,(-4.5165;-3.525],(2.2165;2.794],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Andrew,Male,(-4.5165;-3.525],(2.2165;2.794],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hod
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hud
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hed
Andrew,Male,(-4.5165;-3.525],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hid
Andrew,Male,(-3.525;-3.0055],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Andrew,Male,(-2.1225;-1.4625],(0.787;1.4125],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Andrew,Male,(-2.403;-2.1225],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hYd
Andrew,Male,(-3.525;-3.0055],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(0.4795; Inf],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],had
Andrew,Male,(-4.5165;-3.525],(2.2165;2.794],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hod
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hud
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hed
Andrew,Male,(-4.5165;-3.525],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hid
Andrew,Male,(-3.525;-3.0055],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Andrew,Male,(-2.403;-2.1225],(0.787;1.4125],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Andrew,Male,(-2.403;-2.1225],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hYd
Andrew,Male,(-3.525;-3.0055],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(0.4795; Inf],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],had
Andrew,Male,(-3.525;-3.0055],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Andrew,Male,(-4.5165;-3.525],(2.2165;2.794],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hod
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hud
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hed
Andrew,Male,(-4.5165;-3.525],(-0.1235;0.4245],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],[-Inf;-0.9615],hid
Andrew,Male,(-3.525;-3.0055],(0.4245;0.787],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Andrew,Male,(-2.403;-2.1225],(0.787;1.4125],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Andrew,Male,(-2.403;-2.1225],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Andrew,Male,(-3.525;-3.0055],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hYd
Andrew,Male,(-3.525;-3.0055],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Andrew,Male,(-4.5165;-3.525],(0.787;1.4125],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hUd
Andrew,Male,(-4.5165;-3.525],(1.4125;2.2165],[-Inf;0.4725],(0.829; Inf],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],[-Inf;-0.9615],hud
Andrew,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hed
Bill,Male,(-4.5165;-3.525],(-0.1235;0.4245],[-Inf;0.4725],(0.149;0.829],(0.182; Inf],[-Inf;1.451],(0.4795; Inf],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hid
Bill,Male,(-1.4625; Inf],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(0.4245;0.787],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Bill,Male,(-2.1225;-1.4625],(1.4125;2.2165],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Bill,Male,(-3.0055;-2.403],(2.2165;2.794],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Bill,Male,(-2.403;-2.1225],(0.787;1.4125],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],had
Bill,Male,(-3.525;-3.0055],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],(0.4725;1.077],[-Inf;0.149],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hod
Bill,Male,(-4.5165;-3.525],(2.794;3.1765],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hud
Bill,Male,(-3.525;-3.0055],(0.787;1.4125],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],hed
Bill,Male,(-4.5165;-3.525],(-0.1235;0.4245],(0.4725;1.077],(0.149;0.829],(0.182; Inf],[-Inf;1.451],(0.4795; Inf],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hid
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(0.4245;0.787],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Bill,Male,(-2.1225;-1.4625],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Bill,Male,(-3.0055;-2.403],(2.2165;2.794],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Bill,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],had
Bill,Male,(-3.525;-3.0055],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hod
Bill,Male,(-4.5165;-3.525],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],hud
Bill,Male,(-3.525;-3.0055],(0.787;1.4125],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hed
Bill,Male,(-4.5165;-3.525],(-0.1235;0.4245],(0.4725;1.077],(0.829; Inf],(0.182; Inf],[-Inf;1.451],(0.4795; Inf],(-0.597;0.0765],[-Inf;-0.888],(-0.9615; Inf],hid
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],(1.451; Inf],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Bill,Male,(-2.1225;-1.4625],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Bill,Male,(-3.0055;-2.403],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Bill,Male,(-3.0055;-2.403],(0.787;1.4125],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],had
Bill,Male,(-4.5165;-3.525],(2.794;3.1765],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],(1.451; Inf],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],hud
Bill,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hed
Bill,Male,(-4.5165;-3.525],(-0.1235;0.4245],(1.077; Inf],(0.829; Inf],(0.182; Inf],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],[-Inf;-0.888],(-0.9615; Inf],hid
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],(1.451; Inf],(0.4795; Inf],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Bill,Male,(-2.1225;-1.4625],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Bill,Male,(-3.0055;-2.403],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Bill,Male,(-3.525;-3.0055],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],[-Inf;-1.104],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hod
Bill,Male,(-4.5165;-3.525],(2.794;3.1765],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(2.2165;2.794],[-Inf;0.4725],(0.149;0.829],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],hud
Bill,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(-0.888;0.069],(-0.9615; Inf],hed
Bill,Male,(-4.5165;-3.525],(-0.1235;0.4245],(0.4725;1.077],(0.829; Inf],(0.182; Inf],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],[-Inf;-0.888],(-0.9615; Inf],hid
Bill,Male,(-2.1225;-1.4625],(-0.1235;0.4245],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(0.4245;0.787],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hEd
Bill,Male,(-2.403;-2.1225],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],(0.069; Inf],(-0.9615; Inf],had
Bill,Male,(-3.525;-3.0055],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],(0.4725;1.077],[-Inf;0.149],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hod
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],[-Inf;0.4725],(0.149;0.829],[-Inf;-1.104],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(2.794;3.1765],[-Inf;0.4725],(0.149;0.829],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hud
Bill,Male,(-4.5165;-3.525],[-Inf;-0.1235],(0.4725;1.077],(0.829; Inf],(0.182; Inf],[-Inf;1.451],(-0.6605;0.4795],(-0.597;0.0765],[-Inf;-0.888],(-0.9615; Inf],hid
Bill,Male,(-3.0055;-2.403],(-0.1235;0.4245],[-Inf;0.4725],(0.149;0.829],(0.182; Inf],(1.451; Inf],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hId
Bill,Male,(-2.1225;-1.4625],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hAd
Bill,Male,(-3.0055;-2.403],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hYd
Bill,Male,(-3.0055;-2.403],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],had
Bill,Male,(-3.525;-3.0055],(2.794;3.1765],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hOd
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-1.104;-0.7345],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hod
Bill,Male,(-4.5165;-3.525],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(0.4795; Inf],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hUd
Bill,Male,[-Inf;-4.5165],(3.1765; Inf],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(-0.888;0.069],(-0.9615; Inf],hud
Bill,Male,(-3.525;-3.0055],(1.4125;2.2165],[-Inf;0.4725],[-Inf;0.149],(-0.7345;0.182],[-Inf;1.451],(-0.6605;0.4795],(0.0765; Inf],(0.069; Inf],(-0.9615; Inf],hed
