duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1.0,2.0,3.92142857143,3.91333333333,tc,40.0,ret_allw,4.0,0.0,no,11.0,generous,no,none,no,none,bad
1.0,2.8,3.92142857143,3.91333333333,none,38.0,empl_contr,2.0,3.0,no,9.0,below_average,yes,half,,none,bad
3.0,2.0,2.5,2.0,,37.0,empl_contr,6.875,4.07407407407,,10.0,average,,,yes,none,bad
1.0,4.0,3.92142857143,3.91333333333,none,37.9565217391,none,6.875,4.07407407407,yes,11.0,average,no,none,no,none,bad
2.0,2.0,3.0,3.91333333333,none,38.0,empl_contr,6.875,4.07407407407,yes,12.0,generous,yes,none,yes,full,bad
2.0,2.5,2.5,3.91333333333,tc,39.0,empl_contr,6.875,4.07407407407,,12.0,average,,,yes,,bad
2.0,2.5,3.0,3.91333333333,tcf,40.0,none,6.875,4.07407407407,,11.0,below_average,,,yes,,bad
2.0,4.0,4.0,3.91333333333,none,40.0,none,6.875,3.0,,10.0,below_average,no,none,,none,bad
2.0,4.5,4.0,3.91333333333,,40.0,,6.875,2.0,no,10.0,below_average,no,half,,half,bad
2.0,4.5,4.0,3.91333333333,none,40.0,,6.875,5.0,,11.0,average,,full,yes,full,good
2.0,4.6,4.6,3.91333333333,tcf,38.0,,6.875,4.07407407407,,11.1041666667,,yes,half,,half,good
2.0,5.0,4.5,3.91333333333,none,38.0,,14.0,5.0,,11.0,below_average,yes,,,full,good
2.0,5.7,4.5,3.91333333333,none,40.0,ret_allw,6.875,4.07407407407,,11.0,average,yes,full,yes,full,good
2.0,7.0,5.3,3.91333333333,,37.9565217391,,6.875,4.07407407407,,11.0,,yes,full,,,good
3.0,2.0,3.0,3.91333333333,tcf,37.9565217391,empl_contr,6.875,4.07407407407,yes,11.1041666667,,yes,half,yes,,good
3.0,3.5,4.0,4.5,tcf,35.0,,6.875,4.07407407407,,13.0,generous,,,yes,full,good
3.0,4.0,3.5,3.91333333333,none,40.0,empl_contr,6.875,6.0,,11.0,average,yes,full,,full,good
3.0,5.0,4.4,3.91333333333,none,38.0,empl_contr,10.0,6.0,,11.0,generous,yes,,,full,good
3.0,5.0,5.0,5.0,,40.0,,6.875,4.07407407407,,12.0,average,,half,yes,half,good
3.0,6.0,6.0,4.0,,35.0,,6.875,14.0,,9.0,generous,yes,full,yes,full,good
