"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1088" "{pulse=(58; Inf],abdomen=distended small intestine} => {surgical_lesion=yes}" 0.120845921450151 1 0.120845921450151 1.58373205741627 40 2 1 40 1
"1086" "{surgery=yes,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.117824773413897 1 0.117824773413897 1.58373205741627 39 2 1 5 1
"22071" "{surgery=yes,pulse=(58; Inf],abdominal_distension=none} => {surgical_lesion=yes}" 0.0604229607250755 1 0.0604229607250755 1.58373205741627 20 3 1 3 1
"11550" "{surgery=no,peristalsis=hypermotile,abdominal_distension=none} => {surgical_lesion=no}" 0.0574018126888218 1 0.0574018126888218 2.71311475409836 19 3 1 9 1
"14049" "{Age=adult,abdominocentesis_appearance=serosanguinous,outcome=died} => {surgical_lesion=yes}" 0.0574018126888218 1 0.0574018126888218 1.58373205741627 19 3 1 1 1
"22056" "{surgery=yes,peristalsis=hypomotile,abdominal_distension=none} => {surgical_lesion=yes}" 0.054380664652568 1 0.054380664652568 1.58373205741627 18 3 1 2 1
"22333" "{surgery=yes,pulse=(58; Inf],mucous_membranes=normal pink} => {surgical_lesion=yes}" 0.054380664652568 1 0.054380664652568 1.58373205741627 18 3 1 2 1
"3269" "{surgery=no,abdomen=other,outcome=lived} => {surgical_lesion=no}" 0.0513595166163142 1 0.0513595166163142 2.71311475409836 17 3 1 5 1
"8331" "{surgery=yes,mucous_membranes=,outcome=lived} => {surgical_lesion=yes}" 0.0513595166163142 1 0.0513595166163142 1.58373205741627 17 3 1 10 1
"10013" "{surgery=no,temp_extremities=normal,pain=alert no pain} => {surgical_lesion=no}" 0.0513595166163142 1 0.0513595166163142 2.71311475409836 17 3 1 1 1
"14842" "{surgery=yes,nasogastric_reflux=none,abdominocentesis_appearance=cloudy} => {surgical_lesion=yes}" 0.0513595166163142 1 0.0513595166163142 1.58373205741627 17 3 1 1 1
"4338" "{surgery=yes,Age=young,abdomen=} => {surgical_lesion=yes}" 0.0483383685800604 1 0.0483383685800604 1.58373205741627 16 3 1 2 1
"14118" "{Age=adult,abdomen=distended large intestine,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0453172205438066 1 0.0453172205438066 1.58373205741627 15 3 1 1 1
"14158" "{peripheral_pulse=reduced,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0453172205438066 1 0.0453172205438066 1.58373205741627 15 3 1 1 1
"602" "{abdominal_distension=severe,outcome=lived} => {surgical_lesion=yes}" 0.0422960725075529 1 0.0422960725075529 1.58373205741627 14 2 1 1 1
"15222" "{surgery=no,mucous_membranes=normal pink,rectal_examination=decreased} => {surgical_lesion=no}" 0.0422960725075529 1 0.0422960725075529 2.71311475409836 14 3 1 2 1
"16392" "{surgery=no,temp_extremities=normal,rectal_examination=normal} => {surgical_lesion=no}" 0.0422960725075529 1 0.0422960725075529 2.71311475409836 14 3 1 1 1
"18941" "{pulse=(58; Inf],abdominal_distension=moderate,nasogastric_reflux=none} => {surgical_lesion=yes}" 0.0422960725075529 1 0.0422960725075529 1.58373205741627 14 3 1 1 1
"37273" "{surgery=no,capillary_refill_time=<3,abdomen=normal,outcome=lived} => {surgical_lesion=no}" 0.0422960725075529 1 0.0422960725075529 2.71311475409836 14 4 1 6 1
"48842" "{surgery=no,pulse=[-Inf;58],temp_extremities=warm,outcome=lived} => {surgical_lesion=no}" 0.0422960725075529 1 0.0422960725075529 2.71311475409836 14 4 1 2 1
"775" "{mucous_membranes=pale pink,pain=intermittent severe pain} => {surgical_lesion=yes}" 0.0392749244712991 1 0.0392749244712991 1.58373205741627 13 2 1 2 1
"8621" "{pain=continuous severe pain,rectal_examination=absent,abdomen=distended large intestine} => {surgical_lesion=yes}" 0.0392749244712991 1 0.0392749244712991 1.58373205741627 13 3 1 1 1
"11673" "{pulse=[-Inf;58],peristalsis=hypermotile,abdomen=} => {surgical_lesion=no}" 0.0392749244712991 1 0.0392749244712991 2.71311475409836 13 3 1 1 1
"20073" "{peripheral_pulse=reduced,capillary_refill_time=<3,nasogastric_tube=none} => {surgical_lesion=yes}" 0.0392749244712991 1 0.0392749244712991 1.58373205741627 13 3 1 1 1
"20416" "{temp_extremities=cool,rectal_examination=,outcome=died} => {surgical_lesion=yes}" 0.0392749244712991 1 0.0392749244712991 1.58373205741627 13 3 1 1 1
"21236" "{surgery=yes,temp_extremities=normal,abdomen=distended large intestine} => {surgical_lesion=yes}" 0.0392749244712991 1 0.0392749244712991 1.58373205741627 13 3 1 1 1
"48970" "{surgery=no,temp_extremities=warm,peripheral_pulse=normal,outcome=lived} => {surgical_lesion=no}" 0.0392749244712991 1 0.0392749244712991 2.71311475409836 13 4 1 2 1
"429" "{temp_extremities=cold,outcome=died} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 2 1 1 1
"1135" "{rectal_examination=decreased,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 2 1 1 1
"3863" "{surgery=yes,mucous_membranes=dark cyanotic,capillary_refill_time=>=3} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 3 1 1 1
"6017" "{surgery=yes,mucous_membranes=bright pink,peristalsis=hypomotile} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 3 1 1 1
"9650" "{pulse=(58; Inf],pain=intermittent severe pain,rectal_examination=} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 3 1 1 1
"11529" "{surgery=no,temp_extremities=normal,peristalsis=hypermotile} => {surgical_lesion=no}" 0.0362537764350453 1 0.0362537764350453 2.71311475409836 12 3 1 1 1
"18037" "{surgery=no,abdominal_distension=slight,nasogastric_reflux=} => {surgical_lesion=no}" 0.0362537764350453 1 0.0362537764350453 2.71311475409836 12 3 1 2 1
"18643" "{pulse=(58; Inf],pain=intermittent mild pain,abdominal_distension=moderate} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 3 1 1 1
"22371" "{peripheral_pulse=reduced,nasogastric_tube=,rectal_examination=} => {surgical_lesion=yes}" 0.0362537764350453 1 0.0362537764350453 1.58373205741627 12 3 1 1 1
"10118" "{pain=alert no pain,nasogastric_reflux=,abdominocentesis_appearance=} => {surgical_lesion=no}" 0.0332326283987915 1 0.0332326283987915 2.71311475409836 11 3 1 1 1
"12600" "{surgery=no,mucous_membranes=normal pink,abdominocentesis_appearance=clear} => {surgical_lesion=no}" 0.0332326283987915 1 0.0332326283987915 2.71311475409836 11 3 1 1 1
"5705" "{surgery=yes,mucous_membranes=bright pink,pain=depressed} => {surgical_lesion=yes}" 0.027190332326284 1 0.027190332326284 1.58373205741627 9 3 1 1 1
"10186" "{peripheral_pulse=normal,pain=alert no pain,abdomen=} => {surgical_lesion=no}" 0.027190332326284 1 0.027190332326284 2.71311475409836 9 3 1 1 1
"14218" "{surgery=yes,nasogastric_tube=,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.027190332326284 1 0.027190332326284 1.58373205741627 9 3 1 1 1
"200" "{abdominal_distension=slight,abdomen=other} => {surgical_lesion=no}" 0.0241691842900302 1 0.0241691842900302 2.71311475409836 8 2 1 1 1
"2623" "{surgery=no,nasogastric_reflux=none,abdomen=firm feces in large intestine} => {surgical_lesion=no}" 0.0241691842900302 1 0.0241691842900302 2.71311475409836 8 3 1 2 1
"2829" "{surgery=no,peristalsis=normal,abdominal_distension=none} => {surgical_lesion=no}" 0.0211480362537764 1 0.0211480362537764 2.71311475409836 7 3 1 1 1
"6885" "{surgery=yes,temp_extremities=warm,abdomen=} => {surgical_lesion=yes}" 0.0211480362537764 1 0.0211480362537764 1.58373205741627 7 3 1 1 1
"8287" "{surgery=yes,pulse=[-Inf;58],mucous_membranes=} => {surgical_lesion=yes}" 0.0211480362537764 1 0.0211480362537764 1.58373205741627 7 3 1 2 1
"11212" "{capillary_refill_time=<3,nasogastric_reflux=none,outcome=euthanized} => {surgical_lesion=yes}" 0.0211480362537764 1 0.0211480362537764 1.58373205741627 7 3 1 1 1
"13708" "{surgery=no,pulse=(58; Inf],pain=} => {surgical_lesion=no}" 0.0211480362537764 1 0.0211480362537764 2.71311475409836 7 3 1 7 1
"14649" "{surgery=no,temp_extremities=normal,abdominocentesis_appearance=cloudy} => {surgical_lesion=no}" 0.0211480362537764 1 0.0211480362537764 2.71311475409836 7 3 1 1 1
"16104" "{surgery=no,pulse=(58; Inf],abdominal_distension=} => {surgical_lesion=no}" 0.0211480362537764 1 0.0211480362537764 2.71311475409836 7 3 1 1 1
"47516" "{pulse=[-Inf;58],temp_extremities=warm,pain=intermittent mild pain,outcome=lived} => {surgical_lesion=no}" 0.0211480362537764 1 0.0211480362537764 2.71311475409836 7 4 1 1 1
"120" "{surgery=no,rectal_examination=increased} => {surgical_lesion=no}" 0.0181268882175227 1 0.0181268882175227 2.71311475409836 6 2 1 1 1
"6147" "{surgery=no,capillary_refill_time=,pain=} => {surgical_lesion=no}" 0.0181268882175227 1 0.0181268882175227 2.71311475409836 6 3 1 1 1
"15271" "{surgery=no,nasogastric_reflux=,rectal_examination=decreased} => {surgical_lesion=no}" 0.0181268882175227 1 0.0181268882175227 2.71311475409836 6 3 1 1 1
"3588" "{peripheral_pulse=normal,capillary_refill_time=<3,nasogastric_tube=significant} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"8933" "{peripheral_pulse=,peristalsis=,abdominocentesis_appearance=cloudy} => {surgical_lesion=yes}" 0.0151057401812689 1 0.0151057401812689 1.58373205741627 5 3 1 1 1
"11329" "{pulse=[-Inf;58],peristalsis=hypermotile,abdominocentesis_appearance=clear} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"13479" "{surgery=no,mucous_membranes=pale pink,pain=} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"14371" "{surgery=no,rectal_examination=decreased,abdominocentesis_appearance=cloudy} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"15510" "{temp_extremities=,pain=depressed,outcome=lived} => {surgical_lesion=yes}" 0.0151057401812689 1 0.0151057401812689 1.58373205741627 5 3 1 1 1
"18502" "{surgery=no,peripheral_pulse=,peristalsis=hypomotile} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"19224" "{pain=intermittent mild pain,abdominal_distension=none,rectal_examination=} => {surgical_lesion=no}" 0.0151057401812689 1 0.0151057401812689 2.71311475409836 5 3 1 1 1
"2772" "{pain=depressed,peristalsis=normal,abdominal_distension=none} => {surgical_lesion=no}" 0.0120845921450151 1 0.0120845921450151 2.71311475409836 4 3 1 1 1
"4803" "{surgery=no,mucous_membranes=bright red,outcome=euthanized} => {surgical_lesion=no}" 0.0120845921450151 1 0.0120845921450151 2.71311475409836 4 3 1 2 1
"14974" "{pain=depressed,rectal_examination=decreased,abdominocentesis_appearance=} => {surgical_lesion=no}" 0.0120845921450151 1 0.0120845921450151 2.71311475409836 4 3 1 1 1
"15724" "{temp_extremities=,peristalsis=hypomotile,abdomen=} => {surgical_lesion=no}" 0.0120845921450151 1 0.0120845921450151 2.71311475409836 4 3 1 2 1
"16876" "{temp_extremities=normal,pain=depressed,rectal_examination=} => {surgical_lesion=yes}" 0.0120845921450151 1 0.0120845921450151 1.58373205741627 4 3 1 1 1
"21077" "{surgery=no,rectal_examination=absent,abdomen=} => {surgical_lesion=no}" 0.0120845921450151 1 0.0120845921450151 2.71311475409836 4 3 1 1 1
"20511" "{surgery=yes,abdomen=,outcome=died} => {surgical_lesion=yes}" 0.0845921450151057 0.96551724137931 0.0876132930513595 1.52912060716053 28 3 0.666666666666667 2 0.99685534591195
"13706" "{surgery=no,pain=,abdominocentesis_appearance=} => {surgical_lesion=no}" 0.0453172205438066 0.9375 0.0483383685800604 2.54354508196721 15 3 0.666666666666667 2 0.993769470404984
"22246" "{surgery=no,mucous_membranes=normal pink,outcome=lived} => {surgical_lesion=no}" 0.129909365558912 0.934782608695652 0.138972809667674 2.53617248752673 43 3 1 1 0.993788819875776
"14821" "{surgery=no,nasogastric_reflux=none,abdominocentesis_appearance=cloudy} => {surgical_lesion=no}" 0.027190332326284 0.9 0.0302114803625378 2.44180327868852 9 3 1 1 0.993808049535604
"7010" "{peripheral_pulse=reduced,abdominal_distension=severe,outcome=euthanized} => {surgical_lesion=no}" 0.0120845921450151 0.8 0.0151057401812689 2.17049180327869 4 3 1 1 0.993827160493827
"15597" "{temp_extremities=,capillary_refill_time=>=3,rectal_examination=} => {surgical_lesion=no}" 0.0120845921450151 0.8 0.0151057401812689 2.17049180327869 4 3 1 1 0.993846153846154
"16737" "{peripheral_pulse=,pain=depressed,rectal_examination=} => {surgical_lesion=no}" 0.0120845921450151 0.8 0.0151057401812689 2.17049180327869 4 3 1 1 0.993865030674847
"20122" "{pulse=[-Inf;58],nasogastric_tube=none,abdomen=} => {surgical_lesion=no}" 0.0211480362537764 0.777777777777778 0.027190332326284 2.11020036429873 7 3 1 1 0.99388379204893
"10937" "{pain=depressed,abdominocentesis_appearance=,outcome=euthanized} => {surgical_lesion=no}" 0.0151057401812689 0.714285714285714 0.0211480362537764 1.93793911007026 5 3 1 1 0.99390243902439
"22640" "{nasogastric_tube=slight,abdomen=,outcome=lived} => {surgical_lesion=no}" 0.027190332326284 0.642857142857143 0.0422960725075529 1.74414519906323 9 3 1 1 0.993920972644377
"10475" "{mucous_membranes=pale cyanotic,peristalsis=absent,nasogastric_reflux=} => {surgical_lesion=no}" 0.0151057401812689 0.625 0.0241691842900302 1.69569672131148 5 3 1 1 0.993939393939394
"10870" "{capillary_refill_time=>=3,abdominocentesis_appearance=cloudy,outcome=euthanized} => {surgical_lesion=no}" 0.0120845921450151 0.571428571428571 0.0211480362537764 1.55035128805621 4 3 1 1 NA
"0" "{} => {surgical_lesion=no}" 0.368580060422961 0.368580060422961 1 1 122 0 NA NA 0.993957703927492
