"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"79" "{srv_count=(330.5; Inf]} => {labels=smurf.}" 0.573722222222222 1 0.573722222222222 1.74064403829417 10327 1 1 10327 1
"78" "{src_bytes=(1030;1035]} => {labels=smurf.}" 0.465555555555556 1 0.465555555555556 1.74064403829417 8380 1 1 12 1
"2861" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214166666666667 1 0.214166666666667 4.63320463320463 3855 2 1 3855 1
"2514" "{flag=b'S0',dst_host_serror_rate=(0.97; Inf]} => {labels=neptune.}" 0.174611111111111 1 0.174611111111111 4.63320463320463 3143 2 1 30 1
"39713" "{hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0612777777777778 1 0.0612777777777778 5.19630484988453 1103 3 1 1 1
"41592" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_count=(10.5;254.5]} => {labels=normal.}" 0.0603333333333333 1 0.0603333333333333 5.19630484988453 1086 3 1 5 1
"44208" "{dst_bytes=(2;2189.5],dst_host_count=(254.5; Inf],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0552222222222222 1 0.0552222222222222 5.19630484988453 994 3 1 2 1
"34622" "{=(11455;39723.5],flag=b'SF',wrong_fragment=[-Inf;0.5]} => {labels=normal.}" 0.0547777777777778 1 0.0547777777777778 5.19630484988453 986 3 1 7 1
"41458" "{dst_bytes=(2;2189.5],num_failed_logins=0,dst_host_count=(10.5;254.5]} => {labels=normal.}" 0.0522222222222222 1 0.0522222222222222 5.19630484988453 940 3 1 3 1
"29245" "{hot=[-Inf;0.5],logged_in=1,count=(7.5;24.5]} => {labels=normal.}" 0.0463333333333333 1 0.0463333333333333 5.19630484988453 834 3 1 12 1
"48453" "{src_bytes=(28.5;333.5],hot=[-Inf;0.5],logged_in=0} => {labels=normal.}" 0.0421111111111111 1 0.0421111111111111 5.19630484988453 758 3 1 1 1
"30" "{srv_diff_host_rate=(0.005;0.285]} => {labels=normal.}" 0.0378333333333333 1 0.0378333333333333 5.19630484988453 681 1 1 3 1
"46558" "{protocol_type=b'tcp',flag=b'SF',srv_count=(7.5;16.5]} => {labels=normal.}" 0.0355555555555556 1 0.0355555555555556 5.19630484988453 640 3 1 1 1
"26651" "{hot=[-Inf;0.5],logged_in=1,count=(2.5;7.5]} => {labels=normal.}" 0.0348888888888889 1 0.0348888888888889 5.19630484988453 628 3 1 3 1
"40328" "{hot=[-Inf;0.5],logged_in=1,srv_count=(2.5;7.5]} => {labels=normal.}" 0.0332222222222222 1 0.0332222222222222 5.19630484988453 598 3 1 1 1
"984" "{flag=b'SF',dst_bytes=(2453;8299]} => {labels=normal.}" 0.0278888888888889 1 0.0278888888888889 5.19630484988453 502 2 1 1 1
"28476" "{protocol_type=b'tcp',hot=[-Inf;0.5],dst_host_srv_count=(102.5;254.5]} => {labels=normal.}" 0.0256111111111111 1 0.0256111111111111 5.19630484988453 461 3 1 4 1
"36760" "{count=[-Inf;1.5],dst_host_same_src_port_rate=(0.005;0.125],dst_host_srv_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0245 1 0.0245 5.19630484988453 441 3 1 5 1
"14441" "{=(74065;86235.5],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}" 0.0188333333333333 1 0.0188333333333333 5.19630484988453 339 3 1 1 1
"671" "{service=b'http',dst_host_count=(1.5;10.5]} => {labels=normal.}" 0.0167222222222222 1 0.0167222222222222 5.19630484988453 301 2 1 1 1
"19642" "{count=[-Inf;1.5],dst_host_same_srv_rate=(0.625;0.995],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0165 1 0.0165 5.19630484988453 297 3 1 3 1
"524" "{dst_bytes=(8317.5; Inf],num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.0159444444444444 1 0.0159444444444444 5.19630484988453 287 2 1 3 1
"21406" "{dst_bytes=(2;2189.5],hot=[-Inf;0.5],srv_count=(1.5;2.5]} => {labels=normal.}" 0.0146666666666667 1 0.0146666666666667 5.19630484988453 264 3 1 1 1
"19603" "{srv_count=[-Inf;1.5],dst_host_same_srv_rate=(0.625;0.995],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0138333333333333 1 0.0138333333333333 5.19630484988453 249 3 1 1 1
"774" "{=(74065;86235.5],dst_host_count=(10.5;254.5]} => {labels=normal.}" 0.0118333333333333 1 0.0118333333333333 5.19630484988453 213 2 1 1 1
"41552" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(10.5;254.5]} => {labels=normal.}" 0.0776666666666667 0.999285203716941 0.0777222222222222 5.19259055049219 1398 3 0.857142857142857 6 0.999943442113003
"47788" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(254.5; Inf]} => {labels=normal.}" 0.0445 0.998753117206983 0.0445555555555555 5.18982566677993 801 3 0.666666666666667 2 0.999886903415517
"36795" "{count=[-Inf;1.5],dst_host_count=(10.5;254.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0284444444444444 0.998050682261209 0.0285 5.18617560066448 512 3 0.5 1 0.999830374307362
"39737" "{flag=b'SF',dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.079 0.997194950911641 0.0792222222222222 5.18172895970252 1422 3 0.5 4 0.999604385667458
"26865" "{flag=b'SF',count=(2.5;7.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0394444444444444 0.997191011235955 0.0395555555555556 5.18170848794665 710 3 1 1 0.999604408024866
"18953" "{protocol_type=b'tcp',flag=b'SF',dst_host_same_src_port_rate=(0.125;0.995]} => {labels=normal.}" 0.0168333333333333 0.996710526315789 0.0168888888888889 5.1792117418257 303 3 0.5 1 0.999547945979545
"37422" "{count=[-Inf;1.5],dst_host_srv_diff_host_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0339444444444444 0.965244865718799 0.0351666666666667 5.01570657706074 611 3 0.0476190476190476 1 0.99841968619483
"0" "{} => {labels=back.}" 0.00433333333333333 0.00433333333333333 1 1 78 0 0.276595744680851 78 0.987111111111111
