"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"924" "{X1=1,X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.111111111111111 1 0.111111111111111 2.25 69 3 1 69 1
"7259" "{X5=[-Inf;0.153846],X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0531400966183575 1 0.0531400966183575 2.25 33 4 1 4 1
"7777" "{X1=1,X7=(-0.9284215; Inf],X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0499194847020934 1 0.0499194847020934 2.25 31 4 1 4 1
"9560" "{X1=-1,X6=(-0.875; Inf],X8=-1,X11=1} => {Y=-1}" 0.0499194847020934 1 0.0499194847020934 1.8 31 4 1 9 1
"5697" "{X5=[-Inf;0.153846],X8=1,X11=-1,X14=(-0.99016; Inf]} => {Y=1}" 0.0483091787439614 1 0.0483091787439614 2.25 30 4 1 1 1
"5699" "{X8=1,X11=-1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0483091787439614 1 0.0483091787439614 2.25 30 4 1 1 1
"8277" "{X5=(0.153846; Inf],X8=1,X10=[-Inf;-0.9253735],X13=[-Inf;-0.9005]} => {Y=1}" 0.0483091787439614 1 0.0483091787439614 2.25 30 4 1 4 1
"3813" "{X2=(-0.181654; Inf],X6=(-0.875; Inf],X9=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0434782608695652 1 0.0434782608695652 2.25 27 4 1 2 1
"7573" "{X1=1,X3=(-0.6994645; Inf],X5=[-Inf;0.153846],X10=(-0.9253735; Inf]} => {Y=1}" 0.0434782608695652 1 0.0434782608695652 2.25 27 4 1 4 1
"4043" "{X2=(-0.181654; Inf],X5=(0.153846; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.0418679549114332 1 0.0418679549114332 2.25 26 4 1 2 1
"1418" "{X1=-1,X8=-1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0402576489533011 1 0.0402576489533011 1.8 25 3 1 1 1
"8416" "{X3=(-0.6994645; Inf],X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0402576489533011 1 0.0402576489533011 1.8 25 4 1 2 1
"5364" "{X3=(-0.6994645; Inf],X8=1,X11=1,X14=(-0.99016; Inf]} => {Y=1}" 0.037037037037037 1 0.037037037037037 2.25 23 4 1 1 1
"9275" "{X1=-1,X3=(-0.6994645; Inf],X4=(-0.5; Inf],X8=-1} => {Y=-1}" 0.037037037037037 1 0.037037037037037 1.8 23 4 1 1 1
"7778" "{X7=(-0.9284215; Inf],X10=(-0.9253735; Inf],X11=-1,X13=(-0.9005; Inf]} => {Y=1}" 0.0338164251207729 1 0.0338164251207729 2.25 21 4 1 1 1
"8418" "{X2=[-Inf;-0.181654],X3=(-0.6994645; Inf],X8=-1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0338164251207729 1 0.0338164251207729 1.8 21 4 1 1 1
"532" "{X2=(-0.181654; Inf],X3=(-0.6994645; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0322061191626409 1 0.0322061191626409 2.25 20 3 1 1 1
"3344" "{X1=1,X6=[-Inf;-0.875],X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0305958132045089 1 0.0305958132045089 1.8 19 4 1 1 1
"4035" "{X2=(-0.181654; Inf],X5=(0.153846; Inf],X8=1,X11=1} => {Y=1}" 0.0305958132045089 1 0.0305958132045089 2.25 19 4 1 3 1
"5674" "{X7=[-Inf;-0.9284215],X8=1,X11=-1,X14=(-0.99016; Inf]} => {Y=1}" 0.0305958132045089 1 0.0305958132045089 2.25 19 4 1 1 1
"11047" "{X3=(-0.6994645; Inf],X5=[-Inf;0.153846],X7=(-0.9284215; Inf],X8=-1} => {Y=-1}" 0.0305958132045089 1 0.0305958132045089 1.8 19 4 1 2 1
"30" "{X4=[-Inf;-0.5],X6=[-Inf;-0.875]} => {Y=-1}" 0.0289855072463768 1 0.0289855072463768 1.8 18 2 1 1 1
"9236" "{X1=-1,X3=(-0.6994645; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.0289855072463768 1 0.0289855072463768 2.25 18 4 1 1 1
"10299" "{X5=(0.153846; Inf],X8=1,X9=-1,X11=-1} => {Y=1}" 0.0289855072463768 1 0.0289855072463768 2.25 18 4 1 5 1
"5921" "{X1=1,X3=[-Inf;-0.6994645],X8=-1,X14=(-0.99016; Inf]} => {Y=-1}" 0.0257648953301127 1 0.0257648953301127 1.8 16 4 1 5 1
"1027" "{X4=[-Inf;-0.5],X8=-1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0241545893719807 1 0.0241545893719807 1.8 15 3 1 1 1
"781" "{X4=[-Inf;-0.5],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0225442834138486 1 0.0225442834138486 2.25 14 3 1 1 1
"3771" "{X1=-1,X2=(-0.181654; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0225442834138486 1 0.0225442834138486 2.25 14 4 1 1 1
"6375" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X5=(0.153846; Inf],X8=-1} => {Y=-1}" 0.0225442834138486 1 0.0225442834138486 1.8 14 4 1 2 1
"3879" "{X2=(-0.181654; Inf],X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0193236714975845 1 0.0193236714975845 1.8 12 4 1 1 1
"3638" "{X2=(-0.181654; Inf],X4=[-Inf;-0.5],X10=[-Inf;-0.9253735],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0177133655394525 1 0.0177133655394525 1.8 11 4 1 3 1
"3945" "{X1=-1,X2=(-0.181654; Inf],X8=1,X11=-1} => {Y=1}" 0.0161030595813204 1 0.0161030595813204 2.25 10 4 1 1 1
"725" "{X2=(-0.181654; Inf],X8=-1,X11=1} => {Y=-1}" 0.0144927536231884 1 0.0144927536231884 1.8 9 3 1 2 1
"4027" "{X2=(-0.181654; Inf],X3=[-Inf;-0.6994645],X5=(0.153846; Inf],X9=1} => {Y=1}" 0.0144927536231884 1 0.0144927536231884 2.25 9 4 1 1 1
"4180" "{X2=(-0.181654; Inf],X3=(-0.6994645; Inf],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0144927536231884 1 0.0144927536231884 1.8 9 4 1 1 1
"6355" "{X4=[-Inf;-0.5],X5=(0.153846; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.0144927536231884 1 0.0144927536231884 2.25 9 4 1 3 1
"6356" "{X4=[-Inf;-0.5],X5=(0.153846; Inf],X8=1,X11=-1} => {Y=1}" 0.0128824476650564 1 0.0128824476650564 2.25 8 4 1 1 1
"8775" "{X7=[-Inf;-0.9284215],X8=-1,X11=1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0128824476650564 1 0.0128824476650564 1.8 8 4 1 3 1
"8804" "{X7=(-0.9284215; Inf],X8=-1,X11=-1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0128824476650564 1 0.0128824476650564 1.8 8 4 1 2 1
"903" "{X7=(-0.9284215; Inf],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.135265700483092 0.988235294117647 0.136876006441224 2.22352941176471 84 3 0.666666666666667 2 0.997596153846154
"8613" "{X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.120772946859903 0.986842105263158 0.122383252818035 2.22039473684211 75 4 1 2 0.997607655502392
"1684" "{X1=-1,X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.112721417069243 0.985915492957746 0.114331723027375 1.77464788732394 70 3 0.5 1 0.995238095238095
"1138" "{X4=[-Inf;-0.5],X7=[-Inf;-0.9284215],X8=-1} => {Y=-1}" 0.0917874396135266 0.982758620689655 0.0933977455716586 1.76896551724138 57 3 0.666666666666667 2 0.99290780141844
"12365" "{X3=[-Inf;-0.6994645],X7=[-Inf;-0.9284215],X8=-1,X11=1} => {Y=-1}" 0.0917874396135266 0.982758620689655 0.0933977455716586 1.76896551724138 57 4 1 20 0.993227990970655
"6935" "{X4=[-Inf;-0.5],X7=[-Inf;-0.9284215],X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.072463768115942 0.978260869565217 0.0740740740740741 1.76086956521739 45 4 1 2 0.993258426966292
"7541" "{X1=1,X3=(-0.6994645; Inf],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.07085346215781 0.977777777777778 0.072463768115942 2.2 44 4 0.75 3 0.99109131403118
"8821" "{X7=[-Inf;-0.9284215],X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=-1}" 0.07085346215781 0.977777777777778 0.072463768115942 1.76 44 4 0.666666666666667 2 0.988938053097345
"11072" "{X3=(-0.6994645; Inf],X8=-1,X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.07085346215781 0.977777777777778 0.072463768115942 1.76 44 4 0.666666666666667 2 0.986813186813187
"11074" "{X2=[-Inf;-0.181654],X3=(-0.6994645; Inf],X8=-1,X11=-1} => {Y=-1}" 0.0692431561996779 0.977272727272727 0.07085346215781 1.75909090909091 43 4 1 1 0.986842105263158
"7011" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X9=-1,X11=-1} => {Y=-1}" 0.0676328502415459 0.976744186046512 0.0692431561996779 1.75813953488372 42 4 0.5 1 0.98471615720524
"4210" "{X2=(-0.181654; Inf],X7=(-0.9284215; Inf],X8=1,X9=1} => {Y=1}" 0.0644122383252818 0.975609756097561 0.0660225442834139 2.19512195121951 40 4 0.5 1 0.982608695652174
"7792" "{X1=1,X5=[-Inf;0.153846],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.0611916264090177 0.974358974358974 0.0628019323671498 2.19230769230769 38 4 0.8 4 0.980645161290323
"12846" "{X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X8=-1,X11=-1} => {Y=-1}" 0.173913043478261 0.972972972972973 0.178743961352657 1.75135135135135 108 4 0.833333333333333 10 0.976939203354298
"7801" "{X1=1,X4=(-0.5; Inf],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.107890499194847 0.971014492753623 0.111111111111111 2.18478260869565 67 4 0.666666666666667 2 0.975
"1142" "{X4=[-Inf;-0.5],X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.106280193236715 0.970588235294118 0.109500805152979 1.74705882352941 66 3 0.857142857142857 6 0.973305954825462
"9642" "{X1=-1,X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.106280193236715 0.970588235294118 0.109500805152979 1.74705882352941 66 4 0.666666666666667 2 0.971428571428571
"8729" "{X4=(-0.5; Inf],X6=(-0.875; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.15780998389694 0.97029702970297 0.162640901771337 2.18316831683168 98 4 0.333333333333333 1 0.967545638945233
"7868" "{X6=(-0.875; Inf],X8=1,X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.104669887278583 0.970149253731343 0.107890499194847 2.18283582089552 65 4 0.5 1 0.965656565656566
"1542" "{X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0966183574879227 0.967741935483871 0.0998389694041868 1.74193548387097 60 3 0.5 1 0.963782696177062
"7306" "{X1=-1,X5=(0.153846; Inf],X8=1,X10=(-0.9253735; Inf]} => {Y=1}" 0.0466988727858293 0.966666666666667 0.0483091787439614 2.175 29 4 1 2 0.963927855711423
"10300" "{X3=[-Inf;-0.6994645],X5=(0.153846; Inf],X8=1,X11=-1} => {Y=1}" 0.0466988727858293 0.966666666666667 0.0483091787439614 2.175 29 4 0.666666666666667 2 0.962151394422311
"12789" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.219001610305958 0.964539007092199 0.227053140096618 1.73617021276596 136 4 1 2 0.962301587301587
"12813" "{X2=[-Inf;-0.181654],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.257648953301127 0.963855421686747 0.267310789049919 1.73493975903614 160 4 0.833333333333333 5 0.96078431372549
"4337" "{X2=(-0.181654; Inf],X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.0853462157809984 0.963636363636364 0.0885668276972625 2.16818181818182 53 4 0.8 4 0.959223300970874
"9693" "{X1=-1,X2=[-Inf;-0.181654],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.120772946859903 0.961538461538462 0.1256038647343 1.73076923076923 75 4 0.5 1 0.957446808510638
"12853" "{X1=1,X2=[-Inf;-0.181654],X8=-1,X11=-1} => {Y=-1}" 0.156199677938808 0.96039603960396 0.162640901771337 1.72871287128713 97 4 0.8 4 0.955938697318008
"12977" "{X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.265700483091787 0.959302325581395 0.276972624798712 1.72674418604651 165 4 0.833333333333333 5 0.954545454545455
"7014" "{X4=[-Inf;-0.5],X9=-1,X11=-1,X13=(-0.9005; Inf]} => {Y=-1}" 0.0740740740740741 0.958333333333333 0.0772946859903382 1.725 46 4 0.5 1 0.952830188679245
"11376" "{X7=(-0.9284215; Inf],X8=1,X9=1,X11=-1} => {Y=1}" 0.107890499194847 0.957142857142857 0.112721417069243 2.15357142857143 67 4 0.875 7 0.951672862453532
"12390" "{X3=[-Inf;-0.6994645],X4=(-0.5; Inf],X8=-1,X11=1} => {Y=-1}" 0.106280193236715 0.956521739130435 0.111111111111111 1.72173913043478 66 4 1 1 0.951762523191095
"6940" "{X4=[-Inf;-0.5],X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X9=-1} => {Y=-1}" 0.07085346215781 0.956521739130435 0.0740740740740741 1.72173913043478 44 4 0.75 3 0.950276243093923
"9947" "{X3=(-0.6994645; Inf],X5=(0.153846; Inf],X7=(-0.9284215; Inf],X9=1} => {Y=1}" 0.07085346215781 0.956521739130435 0.0740740740740741 2.15217391304348 44 4 1 1 0.950367647058823
"5153" "{X1=-1,X9=1,X11=-1,X14=(-0.99016; Inf]} => {Y=1}" 0.035426731078905 0.956521739130435 0.037037037037037 2.15217391304348 22 4 1 1 0.95045871559633
"11383" "{X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1,X9=1} => {Y=1}" 0.202898550724638 0.954545454545455 0.21256038647343 2.14772727272727 126 4 0.75 3 0.948998178506375
"7013" "{X1=1,X4=[-Inf;-0.5],X9=-1,X11=-1} => {Y=-1}" 0.0660225442834139 0.953488372093023 0.0692431561996779 1.71627906976744 41 4 0.666666666666667 2 0.947463768115942
"7887" "{X1=1,X4=(-0.5; Inf],X8=1,X10=(-0.9253735; Inf]} => {Y=1}" 0.122383252818035 0.95 0.128824476650564 2.1375 76 4 0.5 1 0.945848375451264
"1323" "{X1=1,X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.119162640901771 0.948717948717949 0.1256038647343 2.13461538461538 74 3 0.5 1 0.944244604316547
"10306" "{X2=[-Inf;-0.181654],X5=(0.153846; Inf],X8=1,X11=-1} => {Y=1}" 0.0869565217391304 0.947368421052632 0.0917874396135266 2.13157894736842 54 4 0.666666666666667 2 0.942754919499106
"4115" "{X1=1,X2=(-0.181654; Inf],X3=(-0.6994645; Inf],X11=1} => {Y=1}" 0.0289855072463768 0.947368421052632 0.0305958132045089 2.13157894736842 18 4 1 1 0.942857142857143
"10854" "{X3=(-0.6994645; Inf],X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.159420289855072 0.942857142857143 0.169082125603865 2.12142857142857 99 4 0.6 3 0.939823008849557
"3746" "{X1=1,X2=(-0.181654; Inf],X5=[-Inf;0.153846],X10=(-0.9253735; Inf]} => {Y=1}" 0.0257648953301127 0.941176470588235 0.0273752012882448 2.11764705882353 16 4 1 1 0.939929328621908
"11952" "{X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1,X11=-1} => {Y=1}" 0.127214170692432 0.94047619047619 0.135265700483092 2.11607142857143 79 4 0.333333333333333 1 0.936731107205624
"7056" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X5=[-Inf;0.153846],X9=-1} => {Y=-1}" 0.0821256038647343 0.927272727272727 0.0885668276972625 1.66909090909091 51 4 1 1 0.936842105263158
"7060" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X9=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0998389694041868 0.925373134328358 0.107890499194847 1.66567164179104 62 4 1 2 0.937062937062937
"6012" "{X3=[-Inf;-0.6994645],X5=[-Inf;0.153846],X9=-1,X14=(-0.99016; Inf]} => {Y=-1}" 0.0193236714975845 0.923076923076923 0.0209339774557166 1.66153846153846 12 4 1 1 0.93717277486911
"9971" "{X3=(-0.6994645; Inf],X5=(0.153846; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.0950080515297907 0.921875 0.103059581320451 2.07421875 59 4 0.5 1 0.935652173913043
"10290" "{X3=[-Inf;-0.6994645],X5=(0.153846; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.037037037037037 0.92 0.0402576489533011 2.07 23 4 0.333333333333333 1 0.932525951557093
"11986" "{X1=1,X4=(-0.5; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.181964573268921 0.91869918699187 0.198067632850242 2.06707317073171 113 4 0.285714285714286 2 0.924786324786325
"5369" "{X3=(-0.6994645; Inf],X4=(-0.5; Inf],X11=1,X14=(-0.99016; Inf]} => {Y=1}" 0.035426731078905 0.916666666666667 0.0386473429951691 2.0625 22 4 1 1 0.924914675767918
"6201" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X5=[-Inf;0.153846],X13=[-Inf;-0.9005]} => {Y=-1}" 0.0177133655394525 0.916666666666667 0.0193236714975845 1.65 11 4 1 1 0.925042589437819
"9478" "{X1=-1,X7=[-Inf;-0.9284215],X8=1,X11=-1} => {Y=1}" 0.0338164251207729 0.91304347826087 0.037037037037037 2.05434782608696 21 4 1 1 0.925170068027211
"10850" "{X1=1,X3=(-0.6994645; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.117552334943639 0.9125 0.128824476650564 2.053125 73 4 1 1 0.925297113752122
"6959" "{X4=[-Inf;-0.5],X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0805152979066023 0.909090909090909 0.0885668276972625 1.63636363636364 50 4 1 1 0.925423728813559
"9963" "{X1=1,X3=(-0.6994645; Inf],X5=(0.153846; Inf],X11=1} => {Y=1}" 0.0466988727858293 0.90625 0.0515297906602254 2.0390625 29 4 0.5 1 0.923986486486487
"13216" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.169082125603865 0.897435897435897 0.188405797101449 1.61538461538462 105 4 0.8 8 0.921926910299003
"13345" "{X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9253735]} => {Y=-1}" 0.249597423510467 0.890804597701149 0.280193236714976 1.60344827586207 155 4 0.727272727272727 8 0.918433931484502
"13343" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9253735],X14=[-Inf;-0.99016]} => {Y=-1}" 0.254428341384863 0.887640449438202 0.286634460547504 1.59775280898876 158 4 1 1 0.9185667752443
"13338" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X13=(-0.9005; Inf],X14=[-Inf;-0.99016]} => {Y=-1}" 0.202898550724638 0.881118881118881 0.230273752012882 1.58601398601399 126 4 1 2 0.918831168831169
"13654" "{X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X9=-1,X13=(-0.9005; Inf]} => {Y=-1}" 0.223832528180354 0.874213836477987 0.256038647342995 1.57358490566038 139 4 1 2 0.919093851132686
"9582" "{X1=-1,X9=-1,X11=1,X13=(-0.9005; Inf]} => {Y=-1}" 0.0434782608695652 0.870967741935484 0.0499194847020934 1.56774193548387 27 4 1 1 0.919224555735057
"11138" "{X3=(-0.6994645; Inf],X7=[-Inf;-0.9284215],X11=-1,X13=(-0.9005; Inf]} => {Y=-1}" 0.0434782608695652 0.870967741935484 0.0499194847020934 1.56774193548387 27 4 1 1 0.919354838709677
"4388" "{X2=(-0.181654; Inf],X4=(-0.5; Inf],X6=(-0.875; Inf],X7=(-0.9284215; Inf]} => {Y=1}" 0.0837359098228663 0.866666666666667 0.0966183574879227 1.95 52 4 1 1 NA
"0" "{} => {Y=1}" 0.444444444444444 0.444444444444444 1 1 276 0 NA NA 0.919484702093398
