"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"80" "{srv_count=(330.5; Inf]} => {labels=smurf.}" 0.573777777777778 1 0.573777777777778 1.74047573003288 10328 1 1 10328 1
"3084" "{service=b'ecr_i',src_bytes=(1030;1036]} => {labels=smurf.}" 0.466611111111111 1 0.466611111111111 1.74047573003288 8399 2 1 12 1
"2895" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214 1 0.214 4.63320463320463 3852 2 1 3852 1
"2503" "{flag=b'S0',dst_host_serror_rate=(0.975; Inf]} => {labels=neptune.}" 0.175055555555556 1 0.175055555555556 4.63320463320463 3151 2 1 33 1
"48202" "{src_bytes=(28.5;333.5],hot=[-Inf;0.5],logged_in=0} => {labels=normal.}" 0.043 1 0.043 5.19780537106555 774 3 1 1 1
"34" "{srv_diff_host_rate=(0.005;0.285]} => {labels=normal.}" 0.0385 1 0.0385 5.19780537106555 693 1 1 2 1
"1045" "{flag=b'SF',dst_bytes=(2453;8299]} => {labels=normal.}" 0.0281111111111111 1 0.0281111111111111 5.19780537106555 506 2 1 1 1
"33547" "{wrong_fragment=[-Inf;0.5],count=(6.5;22.5],dst_host_count=(13.5;254.5]} => {labels=normal.}" 0.0271111111111111 1 0.0271111111111111 5.19780537106555 488 3 1 2 1
"28538" "{protocol_type=b'tcp',hot=[-Inf;0.5],dst_host_srv_count=(102.5;254.5]} => {labels=normal.}" 0.0249444444444444 1 0.0249444444444444 5.19780537106555 449 3 1 3 1
"37014" "{count=[-Inf;1.5],dst_host_same_src_port_rate=(0.005;0.125],dst_host_srv_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0242777777777778 1 0.0242777777777778 5.19780537106555 437 3 1 5 1
"1076" "{count=[-Inf;1.5],dst_host_same_srv_rate=(0.635;0.995]} => {labels=normal.}" 0.0227777777777778 1 0.0227777777777778 5.19780537106555 410 2 1 3 1
"803" "{service=b'http',dst_host_count=(1.5;13.5]} => {labels=normal.}" 0.0194444444444444 1 0.0194444444444444 5.19780537106555 350 2 1 1 1
"14110" "{=(74065;86235.5],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}" 0.0182222222222222 1 0.0182222222222222 5.19780537106555 328 3 1 1 1
"15411" "{protocol_type=b'tcp',flag=b'SF',dst_host_same_src_port_rate=(0.125;0.635]} => {labels=normal.}" 0.0165 1 0.0165 5.19780537106555 297 3 1 5 1
"377" "{dst_bytes=(8341; Inf],num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.0148888888888889 1 0.0148888888888889 5.19780537106555 268 2 1 2 1
"22324" "{dst_bytes=(2;2189.5],hot=[-Inf;0.5],srv_count=(1.5;2.5]} => {labels=normal.}" 0.0145555555555556 1 0.0145555555555556 5.19780537106555 262 3 1 1 1
"3" "{=(103680;108121]} => {labels=normal.}" 0.0101666666666667 1 0.0101666666666667 5.19780537106555 183 1 1 1 1
"40391" "{flag=b'SF',dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0789444444444444 0.99719298245614 0.0791666666666667 5.1832150401994 1421 3 0.333333333333333 2 0.999773921890013
"37679" "{count=[-Inf;1.5],dst_host_srv_diff_host_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0341666666666667 0.966981132075472 0.0353333333333333 5.02617972202093 615 3 0.0476190476190476 1 0.998645139437733
"0" "{} => {labels=back.}" 0.00438888888888889 0.00438888888888889 1 1 79 0 0.276223776223776 79 0.987166666666667
