"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"889" "{X4=-1,X7=[-Inf;-0.9284215],X8=-1} => {Y=-1}" 0.0916398713826367 1 0.0916398713826367 1.80289855072464 57 3 1 57 1
"5809" "{X4=0,X10=(-0.9253735; Inf],X11=1,X14=(-0.99491; Inf]} => {Y=1}" 0.0482315112540193 1 0.0482315112540193 2.24548736462094 30 4 1 10 1
"5963" "{X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005],X14=[-Inf;-0.99491]} => {Y=1}" 0.0466237942122186 1 0.0466237942122186 2.24548736462094 29 4 1 3 1
"6273" "{X1=1,X3=(-0.700893; Inf],X5=[-Inf;0.153846],X10=(-0.9253735; Inf]} => {Y=1}" 0.0466237942122186 1 0.0466237942122186 2.24548736462094 29 4 1 4 1
"6566" "{X3=[-Inf;-0.700893],X8=1,X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0466237942122186 1 0.0466237942122186 2.24548736462094 29 4 1 1 1
"8044" "{X1=1,X5=(0.153846; Inf],X7=(-0.9284215; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.045016077170418 1 0.045016077170418 2.24548736462094 28 4 1 5 1
"7165" "{X3=(-0.700893; Inf],X8=1,X11=1,X14=(-0.99491; Inf]} => {Y=1}" 0.0434083601286174 1 0.0434083601286174 2.24548736462094 27 4 1 3 1
"8032" "{X5=(0.153846; Inf],X8=1,X11=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0434083601286174 1 0.0434083601286174 2.24548736462094 27 4 1 1 1
"6473" "{X7=(-0.9284215; Inf],X10=(-0.9253735; Inf],X11=-1,X13=(-0.9005; Inf]} => {Y=1}" 0.0418006430868167 1 0.0418006430868167 2.24548736462094 26 4 1 1 1
"1386" "{X1=-1,X8=-1,X13=[-Inf;-0.9005]} => {Y=-1}" 0.0401929260450161 1 0.0401929260450161 1.80289855072464 25 3 1 2 1
"2077" "{X8=-1,X9=1,X11=1} => {Y=-1}" 0.0401929260450161 1 0.0401929260450161 1.80289855072464 25 3 1 1 1
"7701" "{X5=[-Inf;0.153846],X8=-1,X13=(-0.9005; Inf],X14=(-0.99491; Inf]} => {Y=-1}" 0.0385852090032154 1 0.0385852090032154 1.80289855072464 24 4 1 4 1
"9032" "{X1=-1,X3=(-0.700893; Inf],X4=0,X8=-1} => {Y=-1}" 0.0385852090032154 1 0.0385852090032154 1.80289855072464 24 4 1 2 1
"466" "{X6=[-Inf;-0.875],X10=[-Inf;-0.9850745],X11=-1} => {Y=-1}" 0.0369774919614148 1 0.0369774919614148 1.80289855072464 23 3 1 2 1
"7680" "{X8=-1,X10=[-Inf;-0.9850745],X13=(-0.9005; Inf],X14=(-0.99491; Inf]} => {Y=-1}" 0.0369774919614148 1 0.0369774919614148 1.80289855072464 23 4 1 2 1
"7706" "{X1=1,X8=-1,X13=(-0.9005; Inf],X14=(-0.99491; Inf]} => {Y=-1}" 0.0369774919614148 1 0.0369774919614148 1.80289855072464 23 4 1 4 1
"10686" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X8=-1,X11=1} => {Y=-1}" 0.0369774919614148 1 0.0369774919614148 1.80289855072464 23 4 1 1 1
"8045" "{X5=(0.153846; Inf],X7=(-0.9284215; Inf],X13=[-Inf;-0.9005],X14=[-Inf;-0.99491]} => {Y=1}" 0.0353697749196141 1 0.0353697749196141 2.24548736462094 22 4 1 2 1
"9149" "{X1=-1,X8=-1,X9=1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0337620578778135 1 0.0337620578778135 1.80289855072464 21 4 1 1 1
"3502" "{X7=(-0.9284215; Inf],X8=1,X10=(-0.9850745;-0.9253735],X14=(-0.99491; Inf]} => {Y=1}" 0.0321543408360129 1 0.0321543408360129 2.24548736462094 20 4 1 5 1
"7694" "{X1=1,X3=[-Inf;-0.700893],X8=-1,X14=(-0.99491; Inf]} => {Y=-1}" 0.0321543408360129 1 0.0321543408360129 1.80289855072464 20 4 1 1 1
"5823" "{X7=[-Inf;-0.9284215],X8=1,X10=(-0.9253735; Inf],X14=(-0.99491; Inf]} => {Y=1}" 0.0305466237942122 1 0.0305466237942122 2.24548736462094 19 4 1 3 1
"8989" "{X1=-1,X3=(-0.700893; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.0305466237942122 1 0.0305466237942122 2.24548736462094 19 4 1 5 1
"470" "{X1=1,X6=[-Inf;-0.875],X11=-1} => {Y=-1}" 0.0289389067524116 1 0.0289389067524116 1.80289855072464 18 3 1 1 1
"3930" "{X3=(-0.700893; Inf],X7=(-0.9284215; Inf],X8=1,X10=(-0.9850745;-0.9253735]} => {Y=1}" 0.0273311897106109 1 0.0273311897106109 2.24548736462094 17 4 1 6 1
"7091" "{X5=(0.153846; Inf],X8=1,X10=[-Inf;-0.9850745],X14=(-0.99491; Inf]} => {Y=1}" 0.0273311897106109 1 0.0273311897106109 2.24548736462094 17 4 1 6 1
"8061" "{X3=[-Inf;-0.700893],X5=(0.153846; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0273311897106109 1 0.0273311897106109 2.24548736462094 17 4 1 1 1
"9369" "{X1=-1,X5=[-Inf;0.153846],X7=(-0.9284215; Inf],X8=-1} => {Y=-1}" 0.0273311897106109 1 0.0273311897106109 1.80289855072464 17 4 1 1 1
"10136" "{X3=[-Inf;-0.700893],X5=(0.153846; Inf],X8=-1,X11=1} => {Y=-1}" 0.0273311897106109 1 0.0273311897106109 1.80289855072464 17 4 1 3 1
"30" "{X4=-1,X6=[-Inf;-0.875]} => {Y=-1}" 0.0257234726688103 1 0.0257234726688103 1.80289855072464 16 2 1 1 1
"10006" "{X5=(0.153846; Inf],X8=1,X10=[-Inf;-0.9850745],X11=-1} => {Y=1}" 0.0257234726688103 1 0.0257234726688103 2.24548736462094 16 4 1 6 1
"1881" "{X3=(-0.700893; Inf],X8=-1,X9=1} => {Y=-1}" 0.0241157556270096 1 0.0241157556270096 1.80289855072464 15 3 1 1 1
"4203" "{X5=[-Inf;0.153846],X8=1,X10=(-0.9850745;-0.9253735],X13=(-0.9005; Inf]} => {Y=1}" 0.0209003215434084 1 0.0209003215434084 2.24548736462094 13 4 1 5 1
"5165" "{X4=-1,X7=[-Inf;-0.9284215],X8=1,X9=1} => {Y=1}" 0.0209003215434084 1 0.0209003215434084 2.24548736462094 13 4 1 2 1
"9368" "{X1=-1,X3=[-Inf;-0.700893],X7=(-0.9284215; Inf],X8=-1} => {Y=-1}" 0.0209003215434084 1 0.0209003215434084 1.80289855072464 13 4 1 1 1
"5173" "{X4=-1,X8=1,X9=1,X11=-1} => {Y=1}" 0.0176848874598071 1 0.0176848874598071 2.24548736462094 11 4 1 2 1
"116" "{X8=-1,X10=(-0.9253735; Inf]} => {Y=-1}" 0.0144694533762058 1 0.0144694533762058 1.80289855072464 9 2 1 1 1
"3667" "{X5=[-Inf;0.153846],X10=(-0.9850745;-0.9253735],X13=[-Inf;-0.9005],X14=[-Inf;-0.99491]} => {Y=-1}" 0.0144694533762058 1 0.0144694533762058 1.80289855072464 9 4 1 1 1
"4956" "{X4=-1,X5=(0.153846; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.0128617363344051 1 0.0128617363344051 2.24548736462094 8 4 1 1 1
"7410" "{X4=0,X7=(-0.9284215; Inf],X8=1,X14=(-0.99491; Inf]} => {Y=1}" 0.146302250803859 0.989130434782609 0.147909967845659 2.22107989326636 91 4 0.75 3 0.997757847533632
"8366" "{X4=0,X7=(-0.9284215; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.118971061093248 0.986666666666667 0.120578778135048 2.21554753309266 74 4 1 1 0.997762863534676
"1651" "{X1=-1,X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.109324758842444 0.985507246376812 0.110932475884244 1.77676958622138 68 3 0.833333333333333 5 0.995584988962472
"1942" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.0996784565916399 0.984126984126984 0.101286173633441 1.77428111341155 62 3 0.666666666666667 2 0.993421052631579
"1508" "{X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99491]} => {Y=-1}" 0.0771704180064309 0.979591836734694 0.0787781350482315 1.76610470275067 48 3 0.5 1 0.991266375545852
"6568" "{X1=1,X8=1,X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0755627009646302 0.979166666666667 0.0771704180064309 2.198706377858 47 4 0.5 1 0.989130434782609
"2085" "{X8=-1,X9=1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0739549839228296 0.978723404255319 0.0755627009646302 1.7645390070922 46 3 0.5 1 0.987012987012987
"6241" "{X1=1,X3=(-0.700893; Inf],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.0739549839228296 0.978723404255319 0.0755627009646302 2.19771103771411 46 4 0.5 1 0.984913793103448
"5501" "{X4=-1,X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9850745]} => {Y=-1}" 0.0723472668810289 0.978260869565217 0.0739549839228296 1.76370510396975 45 4 0.75 3 0.982905982905983
"6257" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X8=1,X10=(-0.9253735; Inf]} => {Y=1}" 0.0707395498392283 0.977777777777778 0.0723472668810289 2.19558764540714 44 4 0.5 1 0.980851063829787
"11138" "{X3=[-Inf;-0.700893],X8=1,X9=1,X11=-1} => {Y=1}" 0.0691318327974277 0.977272727272727 0.0707395498392283 2.19445356087955 43 4 0.666666666666667 2 0.978858350951374
"6487" "{X1=1,X5=[-Inf;0.153846],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.067524115755627 0.976744186046512 0.0691318327974277 2.19326672823441 42 4 0.8 4 0.976987447698745
"10749" "{X3=(-0.700893; Inf],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0643086816720257 0.975609756097561 0.0659163987138264 1.75892541534111 40 4 0.5 1 0.975
"10759" "{X3=(-0.700893; Inf],X8=-1,X11=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0578778135048231 0.972972972972973 0.0594855305466238 1.75417156286722 36 4 0.5 1 0.973029045643154
"6496" "{X1=1,X4=0,X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.112540192926045 0.972222222222222 0.115755627009646 2.18311271560369 70 4 0.5 1 0.971074380165289
"11954" "{X4=0,X5=[-Inf;0.153846],X8=-1,X11=1} => {Y=-1}" 0.110932475884244 0.971830985915493 0.114147909967846 1.75211267605634 69 4 0.888888888888889 8 0.969574036511156
"12353" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.213826366559486 0.970802919708029 0.220257234726688 1.75025917698085 133 4 0.857142857142857 18 0.964980544747082
"894" "{X4=-1,X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.104501607717042 0.970149253731343 0.107717041800643 1.74908068353883 65 3 0.75 6 0.961685823754789
"4136" "{X4=0,X7=(-0.9284215; Inf],X8=1,X10=(-0.9850745;-0.9253735]} => {Y=1}" 0.0498392282958199 0.96875 0.0514469453376206 2.17531588447653 31 4 1 1 0.961759082217973
"9382" "{X1=-1,X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0964630225080386 0.967741935483871 0.0996784565916399 1.74474053295933 60 4 0.5 1 0.96
"10417" "{X3=(-0.700893; Inf],X7=(-0.9284215; Inf],X8=1,X9=1} => {Y=1}" 0.139871382636656 0.966666666666667 0.144694533762058 2.17063778580024 87 4 1 1 0.960076045627376
"6009" "{X1=-1,X5=(0.153846; Inf],X8=1,X10=(-0.9253735; Inf]} => {Y=1}" 0.0466237942122186 0.966666666666667 0.0482315112540193 2.17063778580024 29 4 1 2 0.960227272727273
"8478" "{X4=0,X6=(-0.875; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.155948553054662 0.96039603960396 0.162379421221865 2.15655717196268 97 4 0.25 1 0.954887218045113
"6901" "{X1=-1,X5=(0.153846; Inf],X11=-1,X14=(-0.99491; Inf]} => {Y=1}" 0.0353697749196141 0.956521739130435 0.0369774919614148 2.14785747920264 22 4 1 1 0.954971857410882
"2349" "{X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.27491961414791 0.955307262569832 0.287781350482315 1.72232207918387 171 3 0.833333333333333 5 0.953617810760668
"5567" "{X3=[-Inf;-0.700893],X4=-1,X10=[-Inf;-0.9850745],X11=-1} => {Y=-1}" 0.067524115755627 0.954545454545455 0.0707395498392283 1.72094861660079 42 4 0.5 1 0.951940850277264
"11073" "{X1=1,X7=(-0.9284215; Inf],X8=1,X9=1} => {Y=1}" 0.165594855305466 0.953703703703704 0.173633440514469 2.14152961625886 103 4 0.5 1 0.950276243093923
"10539" "{X3=(-0.700893; Inf],X4=0,X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.162379421221865 0.952830188679245 0.170418006430868 2.13956814930863 101 4 0.714285714285714 5 0.947272727272727
"6592" "{X1=1,X4=0,X8=1,X10=(-0.9253735; Inf]} => {Y=1}" 0.128617363344051 0.952380952380952 0.135048231511254 2.13855939487708 80 4 0.5 1 0.945652173913043
"11526" "{X4=0,X7=(-0.9284215; Inf],X8=1,X11=-1} => {Y=1}" 0.136655948553055 0.944444444444444 0.144694533762058 2.12073806658644 85 4 0.571428571428571 4 0.940966010733453
"8133" "{X3=(-0.700893; Inf],X7=(-0.9284215; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.104501607717042 0.942028985507246 0.110932475884244 2.1153141840632 65 4 0.25 1 0.936056838365897
"15" "{X8=-1} => {Y=-1}" 0.440514469453376 0.941580756013746 0.467845659163987 1.69757458040739 274 1 0.6 3 0.933098591549296
"8991" "{X1=-1,X3=(-0.700893; Inf],X8=1,X11=-1} => {Y=1}" 0.0514469453376206 0.941176470588235 0.0546623794212219 2.11339987258441 32 4 0.5 1 0.931578947368421
"5570" "{X4=-1,X10=[-Inf;-0.9850745],X11=-1,X13=(-0.9005; Inf]} => {Y=-1}" 0.0739549839228296 0.938775510204082 0.0787781350482315 1.69251700680272 46 4 1 1 0.93169877408056
"5622" "{X3=[-Inf;-0.700893],X4=-1,X10=[-Inf;-0.9850745],X14=[-Inf;-0.99491]} => {Y=-1}" 0.0996784565916399 0.925373134328358 0.107717041800643 1.66835388276011 62 4 1 4 0.932173913043478
"10536" "{X1=1,X3=(-0.700893; Inf],X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.117363344051447 0.924050632911392 0.127009646302251 2.07494402047251 73 4 1 2 0.932409012131716
"9998" "{X3=[-Inf;-0.700893],X5=(0.153846; Inf],X7=[-Inf;-0.9284215],X8=1} => {Y=1}" 0.0385852090032154 0.923076923076923 0.0418006430868167 2.0727575673424 24 4 0.5 2 0.929432013769363
"7734" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9850745],X14=(-0.99491; Inf]} => {Y=-1}" 0.0369774919614148 0.92 0.0401929260450161 1.65866666666667 23 4 1 1 0.929553264604811
"11564" "{X1=1,X4=0,X7=(-0.9284215; Inf],X8=1} => {Y=1}" 0.178456591639871 0.917355371900826 0.194533762057878 2.05990989647045 111 4 0.333333333333333 3 0.920473773265651
"3975" "{X1=1,X3=(-0.700893; Inf],X7=[-Inf;-0.9284215],X10=(-0.9850745;-0.9253735]} => {Y=-1}" 0.0176848874598071 0.916666666666667 0.0192926045016077 1.65265700483092 11 4 1 2 0.920741989881956
"9233" "{X1=-1,X6=(-0.875; Inf],X8=1,X11=-1} => {Y=1}" 0.0852090032154341 0.913793103448276 0.0932475884244373 2.05191086767086 53 4 1 1 0.920875420875421
"10856" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X13=(-0.9005; Inf]} => {Y=-1}" 0.0482315112540193 0.909090909090909 0.0530546623794212 1.63899868247694 30 4 0.833333333333333 5 0.92
"4850" "{X1=-1,X4=-1,X10=[-Inf;-0.9850745],X11=1} => {Y=-1}" 0.0160771704180064 0.909090909090909 0.0176848874598071 1.63899868247694 10 4 1 1 0.920133111480865
"12752" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9850745],X11=-1} => {Y=-1}" 0.159163987138264 0.908256880733945 0.17524115755627 1.63749501396091 99 4 0.833333333333333 5 0.919275123558484
"12823" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X10=[-Inf;-0.9850745],X13=(-0.9005; Inf]} => {Y=-1}" 0.197749196141479 0.904411764705882 0.218649517684887 1.63056265984655 123 4 0.666666666666667 6 0.915584415584416
"12920" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X13=(-0.9005; Inf],X14=[-Inf;-0.99491]} => {Y=-1}" 0.202572347266881 0.893617021276596 0.226688102893891 1.61110083256244 126 4 1 2 0.915857605177994
"12829" "{X1=1,X7=[-Inf;-0.9284215],X10=[-Inf;-0.9850745],X13=(-0.9005; Inf]} => {Y=-1}" 0.178456591639871 0.880952380952381 0.202572347266881 1.58826777087647 111 4 1 1 0.915993537964459
"9323" "{X1=-1,X10=[-Inf;-0.9850745],X11=1,X13=(-0.9005; Inf]} => {Y=-1}" 0.045016077170418 0.875 0.0514469453376206 1.57753623188406 28 4 1 3 NA
"0" "{} => {Y=-1}" 0.554662379421222 0.554662379421222 1 1 345 0 NA NA 0.916398713826367
