"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"3038" "{service=b'ecr_i',dst_host_srv_count=(254.5; Inf]} => {labels=smurf.}" 0.560444444444444 1 0.560444444444444 1.78323756687141 5044 2 1 5044 1
"76" "{srv_count=(302.5; Inf]} => {labels=smurf.}" 0.56 1 0.56 1.78323756687141 5040 1 1 3 1
"2778" "{dst_host_count=(254.5; Inf],dst_host_diff_srv_rate=(0.045;0.105]} => {labels=neptune.}" 0.216444444444444 1 0.216444444444444 4.58949515553289 1948 2 1 1948 1
"2736" "{src_bytes=[-Inf;3.5],diff_srv_rate=(0.035;0.085]} => {labels=neptune.}" 0.213222222222222 1 0.213222222222222 4.58949515553289 1919 2 1 10 1
"1780" "{src_bytes=(28.5;333.5],count=(5.5;37.5]} => {labels=normal.}" 0.0618888888888889 1 0.0618888888888889 4.94505494505495 557 2 1 1 1
"35473" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.035]} => {labels=normal.}" 0.0597777777777778 1 0.0597777777777778 4.94505494505495 538 3 1 1 1
"35531" "{dst_bytes=(2.5;8264.5],dst_host_same_src_port_rate=(0.005;0.035],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.058 1 0.058 4.94505494505495 522 3 1 1 1
"1736" "{=(11523;39739.5],logged_in=1} => {labels=normal.}" 0.0555555555555556 1 0.0555555555555556 4.94505494505495 500 2 1 3 1
"25346" "{wrong_fragment=[-Inf;0.5],hot=[-Inf;0.5],srv_diff_host_rate=(0.005;0.9]} => {labels=normal.}" 0.0513333333333333 1 0.0513333333333333 4.94505494505495 462 3 1 3 1
"1825" "{src_bytes=(28.5;333.5],dst_host_same_src_port_rate=(0.005;0.035]} => {labels=normal.}" 0.0493333333333333 1 0.0493333333333333 4.94505494505495 444 2 1 1 1
"43214" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=[-Inf;0.005]} => {labels=normal.}" 0.0488888888888889 1 0.0488888888888889 4.94505494505495 440 3 1 1 1
"43544" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(254.5; Inf]} => {labels=normal.}" 0.0443333333333333 1 0.0443333333333333 4.94505494505495 399 3 1 4 1
"23898" "{dst_bytes=(2.5;8264.5],hot=[-Inf;0.5],dst_host_same_srv_rate=(0.375;0.995]} => {labels=normal.}" 0.0428888888888889 1 0.0428888888888889 4.94505494505495 386 3 1 1 1
"43102" "{src_bytes=(28.5;333.5],logged_in=1,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0397777777777778 1 0.0397777777777778 4.94505494505495 358 3 1 3 1
"37198" "{hot=[-Inf;0.5],logged_in=1,srv_count=(2.5;6.5]} => {labels=normal.}" 0.0314444444444444 1 0.0314444444444444 4.94505494505495 283 3 1 2 1
"30067" "{protocol_type=b'tcp',hot=[-Inf;0.5],dst_host_srv_count=(105.5;254.5]} => {labels=normal.}" 0.03 1 0.03 4.94505494505495 270 3 1 1 1
"38430" "{src_bytes=(28.5;333.5],count=[-Inf;1.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0286666666666667 1 0.0286666666666667 4.94505494505495 258 3 1 12 1
"36313" "{src_bytes=(28.5;333.5],srv_count=[-Inf;1.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0283333333333333 1 0.0283333333333333 4.94505494505495 255 3 1 2 1
"18071" "{=(74029.5;91617.5],protocol_type=b'tcp',rerror_rate=[-Inf;0.675]} => {labels=normal.}" 0.0264444444444444 1 0.0264444444444444 4.94505494505495 238 3 1 3 1
"33402" "{=(11523;39739.5],flag=b'SF',dst_host_same_src_port_rate=(0.005;0.035]} => {labels=normal.}" 0.0233333333333333 1 0.0233333333333333 4.94505494505495 210 3 1 1 1
"29770" "{count=[-Inf;1.5],dst_host_count=(2.5;254.5],dst_host_srv_count=(105.5;254.5]} => {labels=normal.}" 0.0191111111111111 1 0.0191111111111111 4.94505494505495 172 3 1 1 1
"14770" "{hot=[-Inf;0.5],logged_in=1,dst_host_diff_srv_rate=(0.015;0.045]} => {labels=normal.}" 0.0165555555555556 1 0.0165555555555556 4.94505494505495 149 3 1 2 1
"119" "{flag=b'SF',src_bytes=(1484.5;37971.5]} => {labels=normal.}" 0.0112222222222222 1 0.0112222222222222 4.94505494505495 101 2 1 1 1
"44030" "{src_bytes=(28.5;333.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_srv_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0988888888888889 0.997757847533632 0.0991111111111111 4.93396737791357 890 3 0.333333333333333 1 0.999773499433749
"0" "{} => {labels=back.}" 0.00488888888888889 0.00488888888888889 1 1 44 0 0.258823529411765 44 0.985777777777778
