dataset,input rules,output_rules_arc,output_rules_rcba,output_rules_acba,time_arc,time_rcba,time_acba,acc_arc,acc_rcba,acc_acba
data/folds/test/lymph0.csv,2000,23,23,24,0.722000000000008,0.153999999999996,0.147999999999996,0.833333333333333,0.833333333333333,0.777777777777778
data/folds/test/lymph0.csv,3000,23,23,24,1.03700000000001,0.198999999999998,0.176999999999992,0.833333333333333,0.833333333333333,0.777777777777778
data/folds/test/lymph0.csv,4000,26,26,27,1.13800000000001,0.246000000000009,0.209000000000003,0.833333333333333,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,5000,25,25,24,1.35900000000001,0.323999999999984,0.236999999999995,0.833333333333333,0.777777777777778,0.777777777777778
data/folds/test/lymph0.csv,6000,29,29,27,1.49799999999999,0.380000000000024,0.256,0.777777777777778,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,7000,29,29,29,1.584,0.507000000000005,0.325999999999993,0.777777777777778,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,8000,32,31,29,1.785,0.555999999999983,0.341000000000008,0.722222222222222,0.722222222222222,0.611111111111111
data/folds/test/lymph0.csv,9000,35,32,33,1.67400000000001,0.621000000000009,0.37700000000001,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,10000,34,34,35,1.55599999999998,0.632000000000005,0.421999999999997,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,20000,32,32,30,8.87299999999999,1.27600000000001,0.718000000000018,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,30000,32,32,30,13.078,1.90700000000001,1.04399999999998,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,40000,31,32,31,17.826,2.54599999999999,1.375,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,50000,32,33,31,22.51,3.23100000000002,1.679,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,60000,30,30,25,27.829,3.90299999999999,2.24100000000001,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,70000,31,31,26,33.306,4.71100000000001,2.57300000000004,0.722222222222222,0.722222222222222,0.722222222222222
data/folds/test/lymph0.csv,80000,33,33,29,39.885,5.423,3.05599999999998,0.722222222222222,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,90000,33,33,29,44.182,6.31399999999996,3.78399999999999,0.722222222222222,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,1e+05,33,33,29,52.974,7.50600000000003,4.30099999999999,0.722222222222222,0.722222222222222,0.777777777777778
