A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
b,38.96_to_inf,4.02_to_inf,y,p,c,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,4.02_to_inf,u,g,c,h,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,-inf_to_492.0,+
a,38.96_to_inf,-inf_to_4.02,y,p,q,h,-inf_to_1.02,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,cc,h,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,i,bb,1.02_to_inf,f,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,c,v,-inf_to_1.02,f,f,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,-inf_to_4.02,u,g,c,h,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,q,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,w,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,y,p,w,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,v,-inf_to_1.02,t,f,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,x,h,1.02_to_inf,f,f,-inf_to_2.5,t,s,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,q,h,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,4.02_to_inf,u,g,m,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,d,v,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,y,p,q,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,-inf_to_4.02,u,g,q,v,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,cc,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,u,g,c,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,m,v,-inf_to_1.02,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,w,h,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,x,h,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,e,bb,1.02_to_inf,t,f,-inf_to_2.5,t,s,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,d,bb,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,4.02_to_inf,u,g,cc,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,38.96_to_inf,-inf_to_4.02,u,g,m,v,1.02_to_inf,t,f,-inf_to_2.5,f,s,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,y,p,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,k,v,1.02_to_inf,t,t,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,c,v,-inf_to_1.02,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,38.96_to_inf,4.02_to_inf,u,g,ff,ff,-inf_to_1.02,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,m,v,1.02_to_inf,t,f,-inf_to_2.5,f,s,111.0_to_inf,-inf_to_492.0,-
b,38.96_to_inf,-inf_to_4.02,u,g,m,v,-inf_to_1.02,t,f,-inf_to_2.5,f,s,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,d,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,c,bb,1.02_to_inf,t,f,-inf_to_2.5,t,s,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,d,v,-inf_to_1.02,t,f,-inf_to_2.5,t,s,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,aa,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
a,38.96_to_inf,-inf_to_4.02,u,g,j,j,-inf_to_1.02,t,f,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,-
b,38.96_to_inf,4.02_to_inf,y,p,c,h,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,c,v,-inf_to_1.02,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,y,p,aa,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,-
b,38.96_to_inf,-inf_to_4.02,y,p,c,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,c,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,i,bb,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,c,bb,-inf_to_1.02,t,f,-inf_to_2.5,t,s,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,4.02_to_inf,y,p,q,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,q,v,-inf_to_1.02,t,t,-inf_to_2.5,t,g,111.0_to_inf,492.0_to_inf,-
b,-inf_to_38.96,-inf_to_4.02,y,p,c,bb,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,y,p,c,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,q,v,-inf_to_1.02,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,k,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,i,h,1.02_to_inf,t,t,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,-
b,38.96_to_inf,4.02_to_inf,u,g,e,z,-inf_to_1.02,t,t,2.5_to_inf,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,k,v,-inf_to_1.02,t,f,-inf_to_2.5,f,s,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,4.02_to_inf,y,p,aa,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,c,v,-inf_to_1.02,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,u,g,w,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,y,p,ff,ff,-inf_to_1.02,t,t,2.5_to_inf,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,w,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,k,bb,-inf_to_1.02,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,-inf_to_4.02,y,p,c,h,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,-
a,-inf_to_38.96,-inf_to_4.02,u,g,q,v,1.02_to_inf,t,t,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,-
b,-inf_to_38.96,4.02_to_inf,u,g,q,h,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,-
b,38.96_to_inf,4.02_to_inf,u,g,k,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,m,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
a,-inf_to_38.96,4.02_to_inf,u,g,cc,h,-inf_to_1.02,t,t,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,4.02_to_inf,u,g,q,v,-inf_to_1.02,t,t,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,cc,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,u,g,aa,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
a,38.96_to_inf,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,x,h,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,492.0_to_inf,+
b,38.96_to_inf,-inf_to_4.02,u,g,m,bb,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,i,bb,1.02_to_inf,t,t,-inf_to_2.5,f,g,111.0_to_inf,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,e,z,1.02_to_inf,t,t,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,c,v,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,e,bb,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,c,bb,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,q,h,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,q,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,y,p,aa,v,-inf_to_1.02,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,m,v,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,u,g,q,h,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,u,g,cc,h,-inf_to_1.02,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,j,ff,-inf_to_1.02,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,y,p,cc,h,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,w,v,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,h,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,h,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,492.0_to_inf,+
a,38.96_to_inf,4.02_to_inf,y,p,q,h,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,4.02_to_inf,u,g,c,bb,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,492.0_to_inf,+
a,38.96_to_inf,-inf_to_4.02,u,g,cc,h,-inf_to_1.02,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,c,v,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,cc,h,1.02_to_inf,t,t,2.5_to_inf,t,g,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,y,p,j,j,-inf_to_1.02,t,t,2.5_to_inf,t,g,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,-inf_to_4.02,y,p,x,h,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,e,z,-inf_to_1.02,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,k,h,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,y,p,m,bb,-inf_to_1.02,t,t,-inf_to_2.5,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,x,h,-inf_to_1.02,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,38.96_to_inf,-inf_to_4.02,u,g,m,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,u,g,x,v,1.02_to_inf,t,t,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,y,p,e,h,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,q,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,492.0_to_inf,+
a,38.96_to_inf,4.02_to_inf,u,g,q,h,1.02_to_inf,t,f,-inf_to_2.5,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,u,g,cc,v,-inf_to_1.02,t,f,-inf_to_2.5,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,u,g,q,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,y,p,d,v,1.02_to_inf,f,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
a,-inf_to_38.96,-inf_to_4.02,y,p,aa,v,-inf_to_1.02,t,f,-inf_to_2.5,t,g,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,c,bb,1.02_to_inf,t,f,-inf_to_2.5,f,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,4.02_to_inf,u,g,k,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,492.0_to_inf,+
a,38.96_to_inf,4.02_to_inf,u,g,k,h,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,u,g,aa,v,1.02_to_inf,t,f,-inf_to_2.5,t,s,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,u,g,aa,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,+
a,-inf_to_38.96,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,aa,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,c,bb,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,u,g,i,bb,-inf_to_1.02,t,t,2.5_to_inf,f,s,-inf_to_111.0,-inf_to_492.0,+
a,-inf_to_38.96,-inf_to_4.02,u,g,q,v,-inf_to_1.02,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
a,38.96_to_inf,4.02_to_inf,u,g,c,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,4.02_to_inf,u,g,q,v,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,c,h,1.02_to_inf,t,t,2.5_to_inf,f,g,111.0_to_inf,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,aa,bb,1.02_to_inf,t,t,-inf_to_2.5,f,g,-inf_to_111.0,492.0_to_inf,+
b,38.96_to_inf,4.02_to_inf,u,g,c,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
a,-inf_to_38.96,-inf_to_4.02,u,g,c,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,c,v,1.02_to_inf,t,f,-inf_to_2.5,t,g,-inf_to_111.0,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,i,h,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,-inf_to_4.02,u,g,x,v,1.02_to_inf,t,f,-inf_to_2.5,f,g,111.0_to_inf,492.0_to_inf,+
b,-inf_to_38.96,-inf_to_4.02,y,p,w,v,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,y,p,i,bb,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,4.02_to_inf,y,p,c,bb,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
b,-inf_to_38.96,-inf_to_4.02,y,p,x,v,1.02_to_inf,t,t,2.5_to_inf,t,g,111.0_to_inf,-inf_to_492.0,+
b,38.96_to_inf,4.02_to_inf,u,g,w,h,1.02_to_inf,t,t,2.5_to_inf,f,g,-inf_to_111.0,492.0_to_inf,+
b,-inf_to_38.96,4.02_to_inf,u,g,x,v,-inf_to_1.02,t,t,2.5_to_inf,f,g,-inf_to_111.0,-inf_to_492.0,+
