a20,a21,a08,a09,a24,a25,a26,a27,a02,a03,a01,a06,a07,a04,a05,a23,a33,a34,a28,a29,a32,a15,a14,a17,a16,a11,a10,a13,a12,a19,a18,a31,a22,a30,class
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.029375_to_0.999995,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.96142_to_0.80245,0.999945_to_inf,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,-inf_to_-0.609635,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.997_to_inf,0.87076_to_inf,0.99914_to_inf,-0.554585_to_0.652535,0.99815_to_inf,-0.90517_to_-0.00197,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,0.001845_to_0.981525,All,-inf_to_-0.805795,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.99888_to_inf,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.96142_to_0.80245,0.999945_to_inf,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,0.0054_to_0.95098,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,0.99815_to_inf,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,-1.5e-05_to_0.07206,-inf_to_-0.983575,0.14853_to_inf,-0.987455_to_0.89747,-0.87839_to_-0.00017,0.80245_to_inf,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,-inf_to_0.029375,-inf_to_-0.609635,0.995175_to_inf,-0.000155_to_0.18657,-4e-05_to_0.001045,-3e-05_to_0.0054,-0.936175_to_0.86022,-9e-05_to_0.06779,-0.969765_to_0.87076,-inf_to_-0.98825,-0.554585_to_0.652535,-0.96177_to_-0.05415,-0.90517_to_-0.00197,0.08713_to_0.9991,-inf_to_-0.57299,-0.076515_to_0.01567,-inf_to_-0.56293,All,-0.805795_to_0.99361,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.07206_to_0.99888,0.000985_to_0.994515,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.029375_to_0.999995,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,0.0054_to_0.95098,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,0.00143_to_0.96841,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
0.975495_to_inf,0.99888_to_inf,0.994515_to_inf,-inf_to_-0.704705,0.89747_to_inf,-inf_to_-0.87839,0.80245_to_inf,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-inf_to_-0.79531,0.999995_to_inf,-0.00017_to_0.007075,-inf_to_0.04144,-inf_to_-0.96809,0.994855_to_inf,-inf_to_-0.974115,-inf_to_-0.936175,-inf_to_-0.91183,-inf_to_-0.969765,0.99914_to_inf,-inf_to_-0.554585,-inf_to_-0.96177,0.96841_to_inf,-inf_to_-0.91576,0.9891_to_inf,0.99838_to_inf,0.981525_to_inf,All,-inf_to_-0.805795,-inf_to_0.132415,-inf_to_-0.96798,0.930305_to_inf,b
0.975495_to_inf,-inf_to_-0.957365,-0.000375_to_0.000985,0.14853_to_inf,-0.987455_to_0.89747,-inf_to_-0.87839,0.80245_to_inf,0.999945_to_inf,All,0.19028_to_inf,-inf_to_0.5,-0.000715_to_0.001155,-inf_to_0.029375,-inf_to_-0.609635,-inf_to_0.04144,0.999665_to_inf,0.994855_to_inf,0.95098_to_inf,0.86022_to_inf,0.997_to_inf,0.87076_to_inf,-0.03018_to_0.239955,0.97565_to_inf,-inf_to_-0.96177,-0.00197_to_0.00143,0.9991_to_inf,0.9891_to_inf,-0.96941_to_-0.076515,-inf_to_-0.56293,All,0.99361_to_inf,0.99556_to_inf,0.923655_to_inf,-inf_to_-0.91428,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
0.975495_to_inf,-inf_to_-0.957365,-0.000375_to_0.000985,-inf_to_-0.704705,-0.987455_to_0.89747,-0.00017_to_0.00403,-0.96142_to_0.80245,0.999945_to_inf,All,0.19028_to_inf,-inf_to_0.5,-0.000715_to_0.001155,-inf_to_0.029375,0.74685_to_inf,-inf_to_0.04144,-0.000155_to_0.18657,-inf_to_-0.959515,0.95098_to_inf,-inf_to_-0.936175,-inf_to_-0.91183,0.87076_to_inf,-inf_to_-0.98825,-0.554585_to_0.652535,-inf_to_-0.96177,-inf_to_-0.90517,-0.01058_to_0.08713,-inf_to_-0.57299,-0.076515_to_0.01567,-0.00027_to_0.001845,All,-inf_to_-0.805795,-inf_to_0.132415,0.923655_to_inf,0.930305_to_inf,b
-0.912755_to_0.975495,0.07206_to_0.99888,0.000985_to_0.994515,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,0.00143_to_0.96841,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
0.975495_to_inf,0.99888_to_inf,-0.000375_to_0.000985,-inf_to_-0.704705,-0.987455_to_0.89747,-inf_to_-0.87839,-inf_to_-0.96142,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-0.000715_to_0.001155,-inf_to_0.029375,0.74685_to_inf,-inf_to_0.04144,-0.000155_to_0.18657,-4e-05_to_0.001045,-3e-05_to_0.0054,-inf_to_-0.936175,0.997_to_inf,0.87076_to_inf,-0.03018_to_0.239955,-0.554585_to_0.652535,0.99815_to_inf,-0.00197_to_0.00143,0.9991_to_inf,0.9891_to_inf,-0.076515_to_0.01567,0.981525_to_inf,All,-inf_to_-0.805795,-inf_to_0.132415,0.923655_to_inf,0.930305_to_inf,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.9991_to_inf,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,0.99888_to_inf,-inf_to_-0.983575,0.14853_to_inf,-inf_to_-0.987455,0.999495_to_inf,-inf_to_-0.96142,0.999945_to_inf,All,0.19028_to_inf,0.5_to_inf,-inf_to_-0.79531,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,-inf_to_-0.974115,-inf_to_-0.936175,0.997_to_inf,-inf_to_-0.969765,0.99914_to_inf,-inf_to_-0.554585,0.99815_to_inf,-inf_to_-0.90517,0.9991_to_inf,-inf_to_-0.57299,0.99838_to_inf,-inf_to_-0.56293,All,-inf_to_-0.805795,0.99556_to_inf,-0.96798_to_0.923655,-inf_to_-0.91428,b
-inf_to_-0.912755,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.029375_to_0.999995,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,-0.959515_to_-4e-05,-inf_to_-0.974115,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,0.99888_to_inf,0.994515_to_inf,0.14853_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-inf_to_-0.96142,-inf_to_0.52812,All,-inf_to_0.19028,-inf_to_0.5,-0.000715_to_0.001155,-inf_to_0.029375,-inf_to_-0.609635,-inf_to_0.04144,-0.000155_to_0.18657,-inf_to_-0.959515,0.95098_to_inf,0.86022_to_inf,-inf_to_-0.91183,-0.969765_to_0.87076,-0.03018_to_0.239955,-0.554585_to_0.652535,0.99815_to_inf,-0.00197_to_0.00143,-0.01058_to_0.08713,-0.57299_to_0.9891,-0.076515_to_0.01567,-0.00027_to_0.001845,All,-inf_to_-0.805795,-inf_to_0.132415,-inf_to_-0.96798,-inf_to_-0.91428,b
-0.912755_to_0.975495,0.99888_to_inf,-0.983575_to_-0.000375,0.14853_to_inf,0.89747_to_inf,0.212905_to_0.999495,0.80245_to_inf,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,0.95098_to_inf,0.86022_to_inf,0.06779_to_0.997,0.87076_to_inf,0.99914_to_inf,-0.554585_to_0.652535,0.99815_to_inf,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,0.923655_to_inf,0.930305_to_inf,g
-inf_to_-0.912755,0.99888_to_inf,-inf_to_-0.983575,-inf_to_-0.704705,-inf_to_-0.987455,0.999495_to_inf,0.80245_to_inf,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,0.82509_to_inf,0.999995_to_inf,-inf_to_-0.609635,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,-inf_to_-0.974115,-inf_to_-0.936175,0.997_to_inf,0.87076_to_inf,-0.03018_to_0.239955,-inf_to_-0.554585,0.99815_to_inf,-0.00197_to_0.00143,0.9991_to_inf,0.9891_to_inf,-inf_to_-0.96941,-inf_to_-0.56293,All,0.99361_to_inf,-inf_to_0.132415,-inf_to_-0.96798,-inf_to_-0.91428,b
-0.912755_to_0.975495,0.99888_to_inf,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,0.99815_to_inf,-0.90517_to_-0.00197,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.029375_to_0.999995,-0.609635_to_-0.00017,0.418075_to_0.995175,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,-0.957365_to_-1.5e-05,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.79531_to_-0.217515,0.029375_to_0.999995,-0.609635_to_-0.00017,0.04144_to_0.418075,0.18657_to_0.999665,-0.959515_to_-4e-05,-inf_to_-0.974115,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,0.97565_to_inf,0.29207_to_0.99815,-inf_to_-0.90517,0.9991_to_inf,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,0.923655_to_inf,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.96142_to_0.80245,0.999945_to_inf,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,-0.609635_to_-0.00017,0.418075_to_0.995175,0.18657_to_0.999665,0.994855_to_inf,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.99815_to_inf,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,-0.00017_to_0.007075,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.99838_to_inf,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
0.975495_to_inf,-inf_to_-0.957365,-0.000375_to_0.000985,-0.036395_to_0.011975,0.89747_to_inf,0.999495_to_inf,-inf_to_-0.96142,0.999945_to_inf,All,0.19028_to_inf,-inf_to_0.5,-inf_to_-0.79531,-inf_to_0.029375,0.74685_to_inf,0.995175_to_inf,-inf_to_-0.96809,-4e-05_to_0.001045,-3e-05_to_0.0054,0.86022_to_inf,-inf_to_-0.91183,0.87076_to_inf,-0.03018_to_0.239955,-0.554585_to_0.652535,-inf_to_-0.96177,-0.00197_to_0.00143,-inf_to_-0.91576,-0.57299_to_0.9891,-0.076515_to_0.01567,-inf_to_-0.56293,All,0.99361_to_inf,0.99556_to_inf,0.923655_to_inf,0.930305_to_inf,b
-0.912755_to_0.975495,0.07206_to_0.99888,0.000985_to_0.994515,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,0.007075_to_0.74685,0.418075_to_0.995175,0.18657_to_0.999665,0.07861_to_0.994855,0.0054_to_0.95098,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,0.00143_to_0.96841,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,0.07206_to_0.99888,0.000985_to_0.994515,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.994855_to_inf,0.95098_to_inf,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,0.00143_to_0.96841,0.08713_to_0.9991,-inf_to_-0.57299,0.35474_to_0.99838,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,b
